array,code,name,latitude,longitude,cgm_latitude,cgm_longitude,declination,lshell,mlt_midnight,mlt_ut
CARISMA,ANNA,Ann Arbor,42.42,276.10,52.94,349.89,-6.48,2.75,5.87,18.13
CARISMA,BACK,Back Lake,57.71,265.79,67.26,334.00,-1.17,6.69,6.93,17.07
CARISMA,CONT,Contwoyto,65.75,248.75,72.81,305.41,17.40,11.44,8.84,15.16
CARISMA,DAWS,Dawson City,64.05,220.89,65.98,274.54,22.80,6.03,10.90,13.10
CARISMA,ESKI,Eskimo Point,61.11,265.95,70.46,333.67,-3.03,8.94,6.95,17.05
CARISMA,FCHP,Fort Chipewyan,58.77,248.89,66.21,309.14,15.51,6.15,8.59,15.41
CARISMA,FCHU,Fort Churchill,58.76,265.92,68.26,334.03,-1.78,7.29,6.93,17.07
CARISMA,FSIM,Fort Simpson,61.76,238.77,67.25,294.95,21.51,6.69,9.53,14.47
CARISMA,FSMI,Fort Smith,60.02,248.05,67.27,307.52,16.41,6.70,8.70,15.30
CARISMA,GILL,Gillam,56.38,265.36,65.97,333.52,-0.19,6.03,6.96,17.04
CARISMA,GULL,Gull Lake,50.06,251.74,58.23,315.38,11.95,3.61,8.17,15.83
CARISMA,ISLL,Island Lake,53.86,265.34,63.58,333.80,0.55,5.05,6.94,17.06
CARISMA,LGRR,Little Grand Rapids,52.03,264.54,61.78,332.81,1.75,4.47,7.01,16.99
CARISMA,MCMU,Fort McMurray,56.66,248.79,64.16,309.75,15.05,5.26,8.55,15.45
CARISMA,MSTK,Ministik Lake,53.35,247.03,60.63,308.51,15.19,4.16,8.63,15.37
CARISMA,NORM,Norman Wells,65.26,233.31,69.58,286.44,24.24,8.21,10.10,13.90
CARISMA,OSAK,Osakis,45.87,264.92,55.88,333.89,2.25,3.18,6.94,17.06
CARISMA,OXFO,Oxford House,54.93,264.71,64.55,332.73,0.95,5.42,7.02,16.98
CARISMA,PINA,Pinawa,50.20,263.96,59.97,332.16,2.59,3.99,7.05,16.95
CARISMA,POLS,Polson,47.66,245.79,54.80,308.49,14.34,3.01,8.63,15.37
CARISMA,RABB,Rabbit Lake,58.22,256.32,66.81,319.66,9.29,6.45,7.89,16.11
CARISMA,RANK,Rankin Inlet,62.82,267.89,72.15,336.50,-7.03,10.65,6.76,17.24
CARISMA,SACH,Sachs Harbour,71.98,234.77,76.17,281.15,27.39,17.49,10.45,13.55
CARISMA,TALO,Taloyoak,69.54,266.45,78.22,331.84,-13.30,23.98,7.07,16.93
CARISMA,THRF,Thief River Falls,48.03,263.63,57.84,331.91,3.12,3.53,7.07,16.93
CARISMA,VULC,Vulcan,50.37,247.02,57.70,309.32,14.46,3.50,8.58,15.42
