array,code,name,latitude,longitude,cgm_latitude,cgm_longitude,declination,lshell,mlt_midnight,mlt_ut
CARISMA,ANNA,Ann Arbor,42.42,276.10,53.16,349.44,-6.33,2.78,5.89,18.11
CARISMA,BACK,Back Lake,57.71,265.79,67.45,333.40,-0.88,6.80,6.95,17.05
CARISMA,CONT,Contwoyto,65.75,248.75,72.91,304.51,19.04,11.58,8.88,15.12
CARISMA,DAWS,Dawson City,64.05,220.89,65.97,273.82,24.02,6.03,10.93,13.07
CARISMA,ESKI,Eskimo Point,61.11,265.95,70.65,333.02,-2.78,9.11,6.98,17.02
CARISMA,FCHP,Fort Chipewyan,58.77,248.89,66.32,308.45,16.47,6.20,8.62,15.38
CARISMA,FCHU,Fort Churchill,58.76,265.92,68.45,333.43,-1.50,7.41,6.95,17.05
CARISMA,FSIM,Fort Simpson,61.76,238.77,67.31,294.20,22.77,6.72,9.57,14.43
CARISMA,FSMI,Fort Smith,60.02,248.05,67.37,306.79,17.47,6.76,8.73,15.27
CARISMA,GILL,Gillam,56.38,265.36,66.16,332.94,0.13,6.12,6.99,17.01
CARISMA,GULL,Gull Lake,50.06,251.74,58.34,314.83,12.49,3.63,8.19,15.81
CARISMA,ISLL,Island Lake,53.86,265.34,63.76,333.24,0.87,5.12,6.96,17.04
CARISMA,LGRR,Little Grand Rapids,52.03,264.54,61.95,332.27,2.10,4.52,7.03,16.97
CARISMA,MCMU,Fort McMurray,56.66,248.79,64.26,309.10,15.88,5.30,8.57,15.43
CARISMA,MSTK,Ministik Lake,53.35,247.03,60.72,307.91,15.88,4.18,8.65,15.35
CARISMA,NORM,Norman Wells,65.26,233.31,69.61,285.61,25.79,8.24,10.14,13.86
CARISMA,OSAK,Osakis,45.87,264.92,56.03,333.38,2.60,3.20,6.96,17.04
CARISMA,OXFO,Oxford House,54.93,264.71,64.73,332.16,1.30,5.49,7.04,16.96
CARISMA,PINA,Pinawa,50.20,263.96,60.13,331.63,2.95,4.03,7.07,16.93
CARISMA,POLS,Polson,47.66,245.79,54.87,307.98,14.86,3.02,8.65,15.35
CARISMA,RABB,Rabbit Lake,58.22,256.32,66.95,318.99,10.02,6.52,7.91,16.09
CARISMA,RANK,Rankin Inlet,62.82,267.89,72.36,335.85,-7.00,10.89,6.79,17.21
CARISMA,SACH,Sachs Harbour,71.98,234.77,76.18,280.01,29.98,17.54,10.51,13.49
CARISMA,TALO,Taloyoak,69.54,266.45,78.41,330.95,-13.61,24.79,7.12,16.88
CARISMA,THRF,Thief River Falls,48.03,263.63,58.00,331.38,3.49,3.56,7.09,16.91
CARISMA,VULC,Vulcan,50.37,247.02,57.78,308.77,15.05,3.52,8.60,15.40
CARISMA,WEYB,Weyburn,49.69,256.20,58.69,320.82,9.49,3.70,7.79,16.21
CARISMA,WGRY,Wells Gray,51.88,239.97,57.87,299.86,18.10,3.54,9.19,14.81
CANMOS,ALE,Alert,82.50,297.65,87.07,87.93,-59.75,381.95,23.32,0.68
CANMOS,BLC,Baker Lake,64.32,263.99,73.49,328.91,-1.90,12.38,7.25,16.75
CANMOS,BRD,Brandon,49.87,260.03,59.39,326.07,6.49,3.86,7.44,16.56
CANMOS,CBB,Cambridge Bay,69.12,254.97,76.91,311.08,11.31,19.50,8.44,15.56
CANMOS,EUA,Eureka,80.00,274.10,87.92,337.90,-65.58,756.09,6.65,17.35
CANMOS,FCC,Fort Churchill,58.76,265.91,68.45,333.41,-1.49,7.41,6.95,17.05
CANMOS,GLN,Glenlea,49.65,262.88,59.49,330.14,4.01,3.88,7.17,16.83
CANMOS,GWC,Great Whale River,55.30,282.25,65.15,359.18,-17.30,5.66,5.24,18.76
CANMOS,IQA,Iqaluit,63.75,291.48,72.20,14.71,-30.78,10.70,4.20,19.80
CANMOS,MBC,Mould Bay,76.31,240.64,80.93,277.46,30.57,40.27,10.68,13.32
CANMOS,MEA,Meanook,54.62,246.65,61.89,307.04,16.46,4.50,8.71,15.29
CANMOS,OTT,Ottawa,45.40,284.45,55.49,1.62,-13.54,3.12,5.07,18.93
CANMOS,PBQ,Poste de-la-Baleine,55.28,282.25,65.13,359.19,-17.29,5.65,5.23,18.77
CANMOS,RES,Resolute,74.69,265.11,82.88,323.17,-26.53,65.05,7.64,16.36
CANMOS,STJ,St. John's,47.59,307.32,53.11,31.17,-19.88,2.78,3.10,20.90
CANMOS,SNK,Sanikiluaq,56.50,280.80,66.39,357.05,-17.03,6.23,5.38,18.62
CANMOS,VIC,Victoria,48.52,236.58,53.83,297.12,17.70,2.87,9.37,14.63
CANMOS,WHS,Whiteshell,49.80,264.75,59.82,332.81,2.26,3.96,6.99,17.01
CANMOS,YKC,Yellowknife,62.48,245.52,69.28,302.21,20.12,7.99,9.03,14.97
AUTUMNX,FSJ,Fort St. John,56.23,239.27,62.02,297.44,20.00,4.54,9.35,14.65
AUTUMNX,AKUL,Akulivik,60.82,281.85,70.39,359.06,-22.02,8.87,5.24,18.76
AUTUMNX,ATHA,Athabasca,54.71,246.69,61.99,307.05,16.47,4.53,8.71,15.29
AUTUMNX,INUK,Inukjuak,58.47,281.95,68.17,358.99,-19.69,7.23,5.25,18.75
AUTUMNX,INUV,Inuvik,68.41,226.23,71.28,275.43,27.37,9.70,10.82,13.18
AUTUMNX,KJPK,Kuujjuarapik,55.28,282.24,65.13,359.17,-17.28,5.66,5.24,18.76
AUTUMNX,LARG,La,55.16,254.74,63.78,317.61,11.18,5.12,8.01,15.99
AUTUMNX,LETH,Lethbridge,49.64,247.13,57.08,309.10,14.80,3.39,8.57,15.43
AUTUMNX,PUVR,Puvirnituq,60.05,282.71,69.60,0.34,-21.88,8.23,5.16,18.84
AUTUMNX,RADI,Radisson,53.79,282.38,63.71,359.26,-16.35,5.10,5.23,18.77
AUTUMNX,REDR,Red,52.14,246.16,59.37,307.19,15.94,3.85,8.70,15.30
AUTUMNX,ROTH,Priddis,50.87,245.70,58.03,307.00,15.77,3.57,8.71,15.29
AUTUMNX,SALU,Salluit,62.20,284.35,71.49,3.25,-25.54,9.92,4.96,19.04
AUTUMNX,SCHF,Schefferville,54.80,293.19,63.37,14.98,-22.75,4.98,4.18,19.82
AUTUMNX,SEPT,Spet-Iles,50.22,293.73,58.80,15.00,-20.13,3.73,4.18,19.82
AUTUMNX,STFL,Saint-Felicien,48.65,287.55,58.24,6.32,-16.79,3.61,4.76,19.24
AUTUMNX,VLDR,Val-d'Or,48.05,282.22,58.24,358.61,-13.11,3.61,5.27,18.73
DTU,AMK,Tasiilaq,65.60,322.37,68.89,53.06,-25.81,7.71,1.64,22.36
DTU,ATU,Attu,67.93,306.43,73.93,37.55,-34.68,13.06,2.68,21.32
DTU,BFE,Brorfelde,55.62,11.67,52.19,89.24,1.54,2.66,23.23,0.77
DTU,DMH,Danmarkshavn,76.77,341.37,77.18,84.06,-20.82,20.30,23.58,0.42
DTU,FHB,Paamiut,62.00,310.32,67.41,38.48,-27.83,6.78,2.62,21.38
DTU,GDH,Qeqertarsuaq,69.25,306.47,75.19,38.77,-36.13,15.30,2.60,21.40
DTU,GHB,Nuuk,64.17,308.27,69.96,37.24,-30.31,8.51,2.70,21.30
DTU,HOV,Faroe Islands,61.50,353.24,60.04,76.81,-7.39,4.01,0.06,23.94
DTU,KUV,Kullorsuaq,74.57,302.82,80.63,41.48,-44.25,37.75,2.42,21.58
DTU,NAQ,Narsarsuaq,61.16,314.56,65.75,42.69,-25.81,5.93,2.33,21.67
DTU,NRD,Nord,81.60,343.33,81.10,101.51,-21.75,41.78,22.41,1.59
DTU,NRSQ,Narsarsuaq,61.16,314.56,65.75,42.69,-25.81,5.93,2.33,21.67
DTU,ROE,Romo,55.17,8.55,51.80,86.48,0.44,2.61,23.42,0.58
DTU,SCO,Ittoqqortoormiit,70.48,338.03,71.47,71.33,-19.97,9.90,0.43,23.57
DTU,SKT,Maniitsoq,65.42,307.10,71.39,36.59,-31.85,9.82,2.74,21.26
DTU,STF,Kangerlussuaq,67.02,309.28,72.58,40.26,-32.74,11.16,2.50,21.50
DTU,SUM,Summit Ice Cap,72.32,321.70,75.67,59.20,-31.46,16.33,1.23,22.77
DTU,SVS,Savissivik,76.02,294.90,82.98,32.47,-49.92,66.97,3.02,20.98
DTU,TAB,Thule Air Base ,79.54,291.18,86.33,40.93,-58.35,244.21,2.45,21.55
DTU,TDC,Tristan Da Cunha ,-37.07,347.68,-40.00,49.41,-23.48,1.70,1.89,22.11
DTU,THL,Qaanaaq,77.47,290.77,84.71,28.94,-54.27,117.80,3.25,20.75
DTU,UMQ,Uummannaq,70.68,307.87,76.31,42.00,-37.19,17.86,2.38,21.62
DTU,UPN,Upernavik,72.78,303.85,78.87,39.67,-41.42,26.85,2.54,21.46
IMAGE,NAL,Ny Alesund,78.92,11.95,76.32,109.68,1.63,17.88,21.87,2.13
IMAGE,LYR,Longyearbyen,78.20,15.82,75.39,110.73,4.51,15.71,21.80,2.20
IMAGE,HOR,Hornsund,77.00,15.60,74.26,108.42,4.34,13.59,21.95,2.05
IMAGE,HOP,Hopen Island,76.51,25.01,73.24,114.28,10.80,12.02,21.56,2.44
IMAGE,BJN,Bear Island,74.50,19.20,71.61,107.40,6.62,10.05,22.02,1.98
IMAGE,NOR,Nordkapp,71.09,25.79,67.89,108.96,10.03,7.06,21.92,2.08
IMAGE,SOR,Soroya,70.54,22.22,67.51,105.71,7.85,6.83,22.13,1.87
IMAGE,ALT,Alta,69.86,22.96,66.79,105.75,8.13,6.44,22.13,1.87
IMAGE,KEV,Kevo,69.76,27.01,66.51,108.90,10.34,6.29,21.92,2.08
IMAGE,TRO,Tromso,69.66,18.94,66.79,102.43,5.82,6.44,22.35,1.65
IMAGE,MAS,Masi,69.46,23.70,66.35,106.04,8.45,6.22,22.11,1.89
