array,code,name,latitude,longitude,cgm_latitude,cgm_longitude,declination,lshell,mlt_midnight,mlt_ut
CARISMA,ANNA,Ann Arbor,42.42,276.10,52.63,350.50,-6.63,2.71,5.85,18.15
CARISMA,BACK,Back Lake,57.71,265.79,66.99,334.81,-1.36,6.54,6.90,17.10
CARISMA,CONT,Contwoyto,65.75,248.75,72.65,306.67,15.56,11.24,8.77,15.23
CARISMA,DAWS,Dawson City,64.05,220.89,65.99,275.57,21.05,6.04,10.85,13.15
CARISMA,ESKI,Eskimo Point,61.11,265.95,70.18,334.53,-3.11,8.70,6.92,17.08
CARISMA,FCHP,Fort Chipewyan,58.77,248.89,66.06,310.10,14.43,6.07,8.55,15.45
CARISMA,FCHU,Fort Churchill,58.76,265.92,67.99,334.86,-1.93,7.12,6.90,17.10
CARISMA,FSIM,Fort Simpson,61.76,238.77,67.16,296.01,19.96,6.64,9.49,14.51
CARISMA,FSMI,Fort Smith,60.02,248.05,67.12,308.52,15.21,6.61,8.65,15.35
CARISMA,GILL,Gillam,56.38,265.36,65.71,334.31,-0.42,5.91,6.93,17.07
CARISMA,GULL,Gull Lake,50.06,251.74,58.09,316.15,11.31,3.58,8.14,15.86
CARISMA,ISLL,Island Lake,53.86,265.34,63.32,334.56,0.27,4.96,6.91,17.09
CARISMA,LGRR,Little Grand Rapids,52.03,264.54,61.53,333.56,1.42,4.40,6.98,17.02
CARISMA,MCMU,Fort McMurray,56.66,248.79,64.01,310.66,14.10,5.21,8.51,15.49
CARISMA,MSTK,Ministik Lake,53.35,247.03,60.50,309.33,14.37,4.12,8.60,15.40
CARISMA,NORM,Norman Wells,65.26,233.31,69.52,287.62,22.24,8.17,10.04,13.96
CARISMA,OSAK,Osakis,45.87,264.92,55.65,334.58,1.89,3.14,6.91,17.09
CARISMA,OXFO,Oxford House,54.93,264.71,64.30,333.51,0.66,5.32,6.98,17.02
CARISMA,PINA,Pinawa,50.20,263.96,59.73,332.90,2.22,3.94,7.03,16.97
CARISMA,POLS,Polson,47.66,245.79,54.70,309.22,13.71,2.99,8.60,15.40
CARISMA,RABB,Rabbit Lake,58.22,256.32,66.60,320.58,8.53,6.34,7.85,16.15
CARISMA,RANK,Rankin Inlet,62.82,267.89,71.86,337.36,-6.81,10.32,6.73,17.27
CARISMA,SACH,Sachs Harbour,71.98,234.77,76.13,282.80,23.97,17.40,10.37,13.63
CARISMA,TALO,Taloyoak,69.54,266.45,77.93,333.03,-12.47,22.87,7.02,16.98
CARISMA,THRF,Thief River Falls,48.03,263.63,57.62,332.62,2.74,3.49,7.04,16.96
CARISMA,VULC,Vulcan,50.37,247.02,57.58,310.09,13.76,3.48,8.55,15.45
CARISMA,WEYB,Weyburn,49.69,256.20,58.39,322.13,8.45,3.64,7.74,16.26
CARISMA,WGRY,Wells Gray,51.88,239.97,57.74,301.20,16.61,3.51,9.14,14.86
CANMOS,ALE,Alert,82.50,297.65,86.98,78.11,-52.51,360.37,0.01,23.99
CANMOS,BLC,Baker Lake,64.32,263.99,73.03,330.65,-2.48,11.74,7.18,16.82
CANMOS,BRD,Brandon,49.87,260.03,59.04,327.36,5.58,3.78,7.39,16.61
CANMOS,CBB,Cambridge Bay,69.12,254.97,76.57,313.59,7.75,18.55,8.31,15.69
