array,code,name,latitude,longitude,cgm_latitude,cgm_longitude,declination,lshell,mlt_midnight,mlt_ut
CARISMA,ANNA,Ann Arbor,42.42,276.10,52.48,350.83,-6.70,2.70,5.84,18.16
CARISMA,BACK,Back Lake,57.71,265.79,66.86,335.23,-1.44,6.48,6.88,17.12
CARISMA,CONT,Contwoyto,65.75,248.75,72.57,307.30,14.73,11.15,8.74,15.26
CARISMA,DAWS,Dawson City,64.05,220.89,66.00,276.10,20.22,6.04,10.82,13.18
CARISMA,ESKI,Eskimo Point,61.11,265.95,70.04,334.99,-3.13,8.59,6.90,17.10
CARISMA,FCHP,Fort Chipewyan,58.77,248.89,65.99,310.60,13.93,6.04,8.52,15.48
CARISMA,FCHU,Fort Churchill,58.76,265.92,67.86,335.29,-1.99,7.04,6.88,17.12
CARISMA,FSIM,Fort Simpson,61.76,238.77,67.12,296.55,19.23,6.61,9.46,14.54
CARISMA,FSMI,Fort Smith,60.02,248.05,67.05,309.04,14.66,6.58,8.63,15.37
CARISMA,GILL,Gillam,56.38,265.36,65.58,334.73,-0.53,5.85,6.91,17.09
CARISMA,GULL,Gull Lake,50.06,251.74,58.02,316.56,11.02,3.57,8.12,15.88
CARISMA,ISLL,Island Lake,53.86,265.34,63.20,334.97,0.15,4.92,6.90,17.10
CARISMA,LGRR,Little Grand Rapids,52.03,264.54,61.42,333.96,1.27,4.37,6.96,17.04
CARISMA,MCMU,Fort McMurray,56.66,248.79,63.94,311.13,13.66,5.18,8.49,15.51
CARISMA,MSTK,Ministik Lake,53.35,247.03,60.44,309.76,14.00,4.11,8.58,15.42
CARISMA,NORM,Norman Wells,65.26,233.31,69.50,288.23,21.29,8.15,10.01,13.99
CARISMA,OSAK,Osakis,45.87,264.92,55.54,334.96,1.71,3.12,6.90,17.10
CARISMA,OXFO,Oxford House,54.93,264.71,64.18,333.93,0.52,5.27,6.97,17.03
CARISMA,PINA,Pinawa,50.20,263.96,59.62,333.29,2.05,3.91,7.01,16.99
CARISMA,POLS,Polson,47.66,245.79,54.66,309.60,13.43,2.99,8.59,15.41
CARISMA,RABB,Rabbit Lake,58.22,256.32,66.51,321.05,8.18,6.29,7.83,16.17
CARISMA,RANK,Rankin Inlet,62.82,267.89,71.72,337.81,-6.70,10.17,6.71,17.29
CARISMA,SACH,Sachs Harbour,71.98,234.77,76.11,283.62,22.38,17.36,10.32,13.68
CARISMA,TALO,Taloyoak,69.54,266.45,77.79,333.63,-12.10,22.36,6.99,17.01
CARISMA,THRF,Thief River Falls,48.03,263.63,57.52,333.01,2.56,3.47,7.03,16.97
CARISMA,VULC,Vulcan,50.37,247.02,57.53,310.49,13.44,3.47,8.53,15.47
CARISMA,WEYB,Weyburn,49.69,256.20,58.31,322.53,8.19,3.62,7.73,16.27
CARISMA,WGRY,Wells Gray,51.88,239.97,57.70,301.61,16.23,3.50,9.12,14.88
CANMOS,ALE,Alert,82.50,297.65,86.94,75.42,-50.41,350.46,0.20,23.80
CANMOS,BLC,Baker Lake,64.32,263.99,72.90,331.17,-2.55,11.57,7.15,16.85
CANMOS,BRD,Brandon,49.87,260.03,58.95,327.76,5.36,3.76,7.38,16.62
CANMOS,CBB,Cambridge Bay,69.12,254.97,76.48,314.31,6.99,18.28,8.27,15.73
CANMOS,EUA,Eureka,80.00,274.10,87.25,344.90,-51.55,434.24,6.24,17.76
CANMOS,FCC,Fort Churchill,58.76,265.91,67.85,335.28,-1.98,7.04,6.88,17.12
CANMOS,GLN,Glenlea,49.65,262.88,59.00,331.80,3.04,3.77,7.11,16.89
CANMOS,GWC,Great Whale River,55.30,282.25,64.36,0.31,-15.97,5.34,5.21,18.79
CANMOS,IQA,Iqaluit,63.75,291.48,71.40,15.10,-27.15,9.83,4.22,19.78
CANMOS,MBC,Mould Bay,76.31,240.64,80.87,282.62,17.89,39.71,10.39,13.61
CANMOS,MEA,Meanook,54.62,246.65,61.61,308.95,14.43,4.42,8.63,15.37
CANMOS,OTT,Ottawa,45.40,284.45,54.65,2.77,-13.11,2.99,5.04,18.96
CANMOS,PBQ,Poste de-la-Baleine,55.28,282.25,64.34,0.32,-15.96,5.33,5.21,18.79
CANMOS,RES,Resolute,74.69,265.11,82.31,327.46,-21.59,55.82,7.40,16.60
CANMOS,STJ,St. John's,47.59,307.32,52.12,31.48,-18.16,2.65,3.13,20.87
CANMOS,SNK,Sanikiluaq,56.50,280.80,65.61,358.24,-15.64,5.86,5.35,18.65
CANMOS,VIC,Victoria,48.52,236.58,53.71,298.71,16.10,2.85,9.32,14.68
CANMOS,WHS,Whiteshell,49.80,264.75,59.30,334.46,1.41,3.84,6.93,17.07
CANMOS,YKC,Yellowknife,62.48,245.52,68.99,304.66,16.59,7.78,8.92,15.08
AUTUMNX,FSJ,Fort St. John,56.23,239.27,61.83,299.41,17.56,4.49,9.27,14.73
AUTUMNX,AKUL,Akulivik,60.82,281.85,69.61,0.16,-19.65,8.23,5.22,18.78
AUTUMNX,ATHA,Athabasca,54.71,246.69,61.71,308.97,14.43,4.45,8.63,15.37
AUTUMNX,INUK,Inukjuak,58.47,281.95,67.39,0.10,-17.84,6.76,5.22,18.78
AUTUMNX,INUV,Inuvik,68.41,226.23,71.28,278.25,22.14,9.71,10.68,13.32
AUTUMNX,KJPK,Kuujjuarapik,55.28,282.24,64.34,0.30,-15.95,5.33,5.21,18.79
AUTUMNX,LARG,La,55.16,254.74,63.38,319.54,9.49,4.98,7.93,16.07
AUTUMNX,LETH,Lethbridge,49.64,247.13,56.84,310.80,13.26,3.34,8.51,15.49
AUTUMNX,PUVR,Puvirnituq,60.05,282.71,68.82,1.40,-19.61,7.66,5.14,18.86
AUTUMNX,RADI,Radisson,53.79,282.38,62.91,0.40,-15.22,4.82,5.20,18.80
AUTUMNX,REDR,Red,52.14,246.16,59.11,308.99,14.15,3.80,8.63,15.37
AUTUMNX,ROTH,Priddis,50.87,245.70,57.79,308.74,14.09,3.52,8.65,15.35
AUTUMNX,SALU,Salluit,62.20,284.35,70.70,4.16,-22.60,9.15,4.95,19.05
AUTUMNX,SCHF,Schefferville,54.80,293.19,62.50,15.61,-20.77,4.69,4.19,19.81
AUTUMNX,SEPT,Spet-Iles,50.22,293.73,57.88,15.72,-18.65,3.54,4.18,19.82
AUTUMNX,STFL,Saint-Felicien,48.65,287.55,57.37,7.31,-15.84,3.44,4.74,19.26
AUTUMNX,VLDR,Val-d'Or,48.05,282.22,57.44,359.81,-12.63,3.45,5.24,18.76
DTU,AMK,Tasiilaq,65.60,322.37,68.34,52.20,-22.62,7.34,1.75,22.25
DTU,ATU,Attu,67.93,306.43,73.26,36.82,-30.49,12.06,2.77,21.23
DTU,BFE,Brorfelde,55.62,11.67,52.14,88.95,2.92,2.66,23.30,0.70
