array,code,name,latitude,longitude,cgm_latitude,cgm_longitude,declination,lshell,mlt_midnight,mlt_ut
CARISMA,ANNA,Ann Arbor,42.42,276.10,52.33,351.20,-6.78,2.68,5.83,18.17
CARISMA,BACK,Back Lake,57.71,265.79,66.74,335.68,-1.51,6.41,6.87,17.13
CARISMA,CONT,Contwoyto,65.75,248.75,72.50,307.96,13.96,11.06,8.72,15.28
CARISMA,DAWS,Dawson City,64.05,220.89,66.01,276.65,19.41,6.05,10.80,13.20
CARISMA,ESKI,Eskimo Point,61.11,265.95,69.92,335.47,-3.15,8.48,6.88,17.12
CARISMA,FCHP,Fort Chipewyan,58.77,248.89,65.92,311.12,13.48,6.01,8.51,15.49
CARISMA,FCHU,Fort Churchill,58.76,265.92,67.73,335.75,-2.04,6.97,6.86,17.14
CARISMA,FSIM,Fort Simpson,61.76,238.77,67.08,297.11,18.56,6.59,9.44,14.56
CARISMA,FSMI,Fort Smith,60.02,248.05,66.98,309.58,14.15,6.54,8.61,15.39
CARISMA,GILL,Gillam,56.38,265.36,65.47,335.18,-0.62,5.80,6.90,17.10
CARISMA,GULL,Gull Lake,50.06,251.74,57.96,316.99,10.76,3.55,8.11,15.89
CARISMA,ISLL,Island Lake,53.86,265.34,63.09,335.40,0.03,4.88,6.89,17.11
CARISMA,LGRR,Little Grand Rapids,52.03,264.54,61.31,334.39,1.13,4.34,6.95,17.05
CARISMA,MCMU,Fort McMurray,56.66,248.79,63.88,311.62,13.26,5.16,8.47,15.53
CARISMA,MSTK,Ministik Lake,53.35,247.03,60.39,310.22,13.66,4.10,8.57,15.43
CARISMA,NORM,Norman Wells,65.26,233.31,69.48,288.84,20.40,8.14,9.99,14.01
CARISMA,OSAK,Osakis,45.87,264.92,55.44,335.36,1.54,3.11,6.89,17.11
CARISMA,OXFO,Oxford House,54.93,264.71,64.06,334.37,0.40,5.23,6.96,17.04
CARISMA,PINA,Pinawa,50.20,263.96,59.52,333.71,1.89,3.89,7.00,17.00
CARISMA,POLS,Polson,47.66,245.79,54.63,310.01,13.17,2.98,8.58,15.42
CARISMA,RABB,Rabbit Lake,58.22,256.32,66.42,321.55,7.87,6.25,7.81,16.19
CARISMA,RANK,Rankin Inlet,62.82,267.89,71.59,338.29,-6.59,10.02,6.69,17.31
CARISMA,SACH,Sachs Harbour,71.98,234.77,76.10,284.46,20.89,17.32,10.28,13.72
CARISMA,TALO,Taloyoak,69.54,266.45,77.66,334.25,-11.74,21.89,6.96,17.04
CARISMA,THRF,Thief River Falls,48.03,263.63,57.42,333.42,2.39,3.45,7.02,16.98
CARISMA,VULC,Vulcan,50.37,247.02,57.49,310.92,13.15,3.46,8.52,15.48
CARISMA,WEYB,Weyburn,49.69,256.20,58.24,322.96,7.95,3.61,7.72,16.28
CARISMA,WGRY,Wells Gray,51.88,239.97,57.68,302.04,15.88,3.50,9.11,14.89
CANMOS,ALE,Alert,82.50,297.65,86.89,72.93,-48.37,339.24,0.39,23.61
CANMOS,BLC,Baker Lake,64.32,263.99,72.78,331.71,-2.60,11.41,7.13,16.87
CANMOS,BRD,Brandon,49.87,260.03,58.86,328.19,5.16,3.74,7.37,16.63
CANMOS,CBB,Cambridge Bay,69.12,254.97,76.38,315.05,6.30,18.04,8.24,15.76
CANMOS,EUA,Eureka,80.00,274.10,87.10,346.13,-48.87,391.20,6.17,17.83
CANMOS,FCC,Fort Churchill,58.76,265.91,67.73,335.74,-2.03,6.96,6.87,17.13
CANMOS,GLN,Glenlea,49.65,262.88,58.91,332.22,2.87,3.75,7.10,16.90
CANMOS,GWC,Great Whale River,55.30,282.25,64.19,0.62,-15.68,5.28,5.21,18.79
CANMOS,IQA,Iqaluit,63.75,291.48,71.23,15.25,-26.39,9.66,4.23,19.77
CANMOS,MBC,Mould Bay,76.31,240.64,80.85,283.79,15.65,39.56,10.33,13.67
CANMOS,MEA,Meanook,54.62,246.65,61.56,309.42,14.06,4.41,8.62,15.38
CANMOS,OTT,Ottawa,45.40,284.45,54.47,3.08,-13.02,2.96,5.04,18.96
CANMOS,PBQ,Poste de-la-Baleine,55.28,282.25,64.17,0.62,-15.67,5.27,5.21,18.79
CANMOS,RES,Resolute,74.69,265.11,82.18,328.39,-20.67,54.06,7.36,16.64
CANMOS,STJ,St. John's,47.59,307.32,51.89,31.61,-17.81,2.63,3.14,20.86
CANMOS,SNK,Sanikiluaq,56.50,280.80,65.44,358.56,-15.34,5.79,5.34,18.66
CANMOS,VIC,Victoria,48.52,236.58,53.70,299.10,15.81,2.85,9.31,14.69
CANMOS,WHS,Whiteshell,49.80,264.75,59.19,334.87,1.26,3.81,6.92,17.08
CANMOS,YKC,Yellowknife,62.48,245.52,68.93,305.24,15.94,7.74,8.90,15.10
AUTUMNX,FSJ,Fort St. John,56.23,239.27,61.80,299.89,17.09,4.48,9.25,14.75
AUTUMNX,AKUL,Akulivik,60.82,281.85,69.44,0.45,-19.15,8.11,5.22,18.78
AUTUMNX,ATHA,Athabasca,54.71,246.69,61.66,309.43,14.06,4.44,8.62,15.38
AUTUMNX,INUK,Inukjuak,58.47,281.95,67.22,0.40,-17.44,6.67,5.22,18.78
AUTUMNX,INUV,Inuvik,68.41,226.23,71.28,278.91,21.06,9.71,10.65,13.35
AUTUMNX,KJPK,Kuujjuarapik,55.28,282.24,64.17,0.60,-15.66,5.27,5.21,18.79
AUTUMNX,LARG,La,55.16,254.74,63.30,320.01,9.19,4.95,7.91,16.09
AUTUMNX,LETH,Lethbridge,49.64,247.13,56.79,311.22,12.97,3.33,8.50,15.50
AUTUMNX,PUVR,Puvirnituq,60.05,282.71,68.65,1.68,-19.13,7.54,5.14,18.86
AUTUMNX,RADI,Radisson,53.79,282.38,62.74,0.71,-14.97,4.77,5.20,18.80
AUTUMNX,REDR,Red,52.14,246.16,59.07,309.43,13.83,3.79,8.62,15.38
AUTUMNX,ROTH,Priddis,50.87,245.70,57.75,309.17,13.79,3.51,8.64,15.36
AUTUMNX,SALU,Salluit,62.20,284.35,70.53,4.42,-21.99,9.00,4.95,19.05
AUTUMNX,SCHF,Schefferville,54.80,293.19,62.31,15.81,-20.35,4.63,4.19,19.81
AUTUMNX,SEPT,Spet-Iles,50.22,293.73,57.68,15.94,-18.34,3.50,4.19,19.81
AUTUMNX,STFL,Saint-Felicien,48.65,287.55,57.18,7.59,-15.64,3.40,4.74,19.26
AUTUMNX,VLDR,Val-d'Or,48.05,282.22,57.26,0.13,-12.52,3.42,5.24,18.76
DTU,AMK,Tasiilaq,65.60,322.37,68.22,52.08,-21.94,7.26,1.78,22.22
DTU,ATU,Attu,67.93,306.43,73.11,36.73,-29.60,11.85,2.80,21.20
DTU,BFE,Brorfelde,55.62,11.67,52.13,88.94,3.24,2.65,23.32,0.68
DTU,DMH,Danmarkshavn,76.77,341.37,77.04,81.21,-16.06,19.88,23.83,0.17
DTU,FHB,Paamiut,62.00,310.32,66.53,38.13,-24.08,6.30,2.71,21.29
DTU,GDH,Qeqertarsuaq,69.25,306.47,74.39,37.74,-30.74,13.81,2.73,21.27
DTU,GHB,Nuuk,64.17,308.27,69.09,36.78,-26.13,7.85,2.80,21.20
DTU,HOV,Faroe Islands,61.50,353.24,59.74,76.09,-4.95,3.94,0.17,23.83
DTU,KUV,Kullorsuaq,74.57,302.82,79.90,39.19,-36.98,32.54,2.63,21.37
DTU,NAQ,Narsarsuaq,61.16,314.56,64.89,42.27,-22.29,5.55,2.43,21.57
DTU,NRD,Nord,81.60,343.33,81.22,97.08,-15.65,42.90,22.78,1.22
DTU,NRSQ,Narsarsuaq,61.16,314.56,64.89,42.27,-22.30,5.55,2.43,21.57
DTU,ROE,Romo,55.17,8.55,51.68,86.17,2.18,2.60,23.50,0.50
DTU,SCO,Ittoqqortoormiit,70.48,338.03,71.11,69.70,-16.13,9.54,0.60,23.40
DTU,SKT,Maniitsoq,65.42,307.10,70.54,36.05,-27.37,9.01,2.84,21.16
DTU,STF,Kangerlussuaq,67.02,309.28,71.77,39.44,-28.03,10.22,2.62,21.38
DTU,SUM,Summit Ice Cap,72.32,321.70,75.14,57.19,-26.43,15.21,1.43,22.57
DTU,SVS,Savissivik,76.02,294.90,82.18,30.14,-41.02,54.08,3.24,20.76
DTU,TAB,Thule Air Base ,79.54,291.18,85.61,34.71,-47.07,170.67,2.93,21.07
DTU,TDC,Tristan Da Cunha ,-37.07,347.68,-41.01,50.80,-23.05,1.76,1.86,22.14
DTU,THL,Qaanaaq,77.47,290.77,83.90,26.17,-43.94,88.59,3.50,20.50
DTU,UMQ,Uummannaq,70.68,307.87,75.56,40.64,-31.54,16.08,2.54,21.46
DTU,UPN,Upernavik,72.78,303.85,78.12,37.97,-34.84,23.58,2.72,21.28
IMAGE,NAL,Ny Alesund,78.92,11.95,76.58,107.39,5.73,18.55,22.09,1.91
IMAGE,LYR,Longyearbyen,78.20,15.82,75.66,108.70,8.34,16.30,22.00,2.00
IMAGE,HOR,Hornsund,77.00,15.60,74.51,106.56,7.90,14.01,22.14,1.86
IMAGE,HOP,Hopen Island,76.51,25.01,73.56,112.77,14.05,12.48,21.73,2.27
IMAGE,BJN,Bear Island,74.50,19.20,71.84,105.96,9.66,10.30,22.18,1.82
IMAGE,NOR,Nordkapp,71.09,25.79,68.15,108.00,12.49,7.22,22.05,1.95
IMAGE,SOR,Soroya,70.54,22.22,67.72,104.72,10.33,6.96,22.27,1.73
IMAGE,ALT,Alta,69.86,22.96,67.00,104.83,10.52,6.55,22.26,1.74
IMAGE,KEV,Kevo,69.76,27.01,66.77,108.06,12.64,6.43,22.04,1.96
IMAGE,TRO,Tromso,69.66,18.94,66.96,101.44,8.27,6.53,22.48,1.52
IMAGE,MAS,Masi,69.46,23.70,66.57,105.16,10.79,6.32,22.24,1.76
IMAGE,AND,Andenes,69.30,16.03,66.71,98.86,6.59,6.40,22.66,1.34
IMAGE,KIL,Kilpisjärvi,69.06,20.77,66.27,102.51,9.11,6.17,22.41,1.59
IMAGE,KAU,Kautokeino,69.02,23.05,66.14,104.34,10.31,6.11,22.29,1.71
IMAGE,IVA,Ivalo,68.56,27.29,65.54,107.54,12.32,5.83,22.08,1.92
IMAGE,ABK,Abisko,68.35,18.82,65.61,100.46,7.90,5.87,22.55,1.45
IMAGE,LEK,Leknes,68.13,13.54,65.62,96.06,5.04,5.87,22.84,1.16
IMAGE,MUO,Muonio,68.02,23.53,65.10,104.11,10.25,5.64,22.31,1.69
IMAGE,LOZ,Lovozero,67.97,35.08,64.77,113.77,15.71,5.50,21.66,2.34
IMAGE,KIR,Kiruna,67.84,20.42,65.03,101.45,8.61,5.61,22.48,1.52
IMAGE,RST,Rost,67.52,12.09,65.05,94.50,4.19,5.62,22.95,1.05
IMAGE,SOD,Sodankylä,67.37,26.63,64.35,106.32,11.55,5.34,22.16,1.84
IMAGE,PEL,Pello,66.90,24.08,63.94,103.93,10.16,5.18,22.32,1.68
IMAGE,JCK,Jackvik,66.40,16.98,63.66,97.80,6.56,5.08,22.73,1.27
IMAGE,DON,Donna,66.11,12.50,63.54,93.98,4.27,5.04,22.98,1.02
IMAGE,RAN,Ranua,65.90,26.41,62.85,105.37,10.92,4.80,22.22,1.78
IMAGE,RVK,Rorvik,64.94,10.98,62.37,92.10,3.41,4.65,23.11,0.89
IMAGE,LYC,Lycksele,64.61,18.75,61.72,98.33,7.07,4.45,22.69,1.31
IMAGE,OUJ,Oulujärvi,64.52,27.23,61.41,105.43,10.78,4.37,22.22,1.78
IMAGE,MEK,Mekrijärvi,62.77,30.97,59.55,107.97,11.59,3.89,22.05,1.95
IMAGE,HAN,Hankasalmi,62.25,26.60,59.07,103.97,9.75,3.78,22.32,1.68
IMAGE,DOB,Dombas,62.07,9.11,59.36,89.18,2.43,3.85,23.30,0.70
IMAGE,SOL,Solund,61.08,4.84,58.48,85.25,0.54,3.66,23.56,0.44
IMAGE,NUR,Nurmijärvi,60.50,24.65,57.26,101.66,8.49,3.42,22.47,1.53
IMAGE,HAR,Harestua,60.21,10.71,57.26,89.72,3.06,3.42,23.27,0.73
IMAGE,UPS,Uppsala,59.90,17.35,56.74,95.17,5.66,3.32,22.90,1.10
IMAGE,KAR,Karmoy,59.21,5.24,56.37,84.81,0.81,3.26,23.59,0.41
IMAGE,TAR,Tartu,58.26,26.46,54.88,102.54,8.47,3.02,22.41,1.59
IMAGE,BRZ,Birzai,56.17,24.86,52.65,100.54,7.43,2.72,22.54,1.46
IMAGE,HLP,Hel,54.61,18.82,50.94,94.80,5.38,2.52,22.93,1.07
IMAGE,SUW,Suwałki,54.01,23.18,50.30,98.51,6.48,2.45,22.68,1.32
IMAGE,WNG,Wingst,53.74,9.07,50.02,86.18,2.35,2.42,23.50,0.50
IMAGE,NGK,Niemegk,52.07,12.68,48.06,88.82,3.39,2.24,23.33,0.67
IMAGE,PPN,Polesie,51.45,23.13,47.49,97.90,5.99,2.19,22.72,1.28
GIMA,ARCT,Arctic Village,68.13,214.43,68.99,267.91,18.48,7.78,11.39,12.61
GIMA,BETT,Bettles,66.90,208.45,66.77,263.60,16.22,6.43,11.67,12.33
GIMA,CIGO,College Int'l Geophysical Observatory,64.87,212.14,65.30,268.08,17.24,5.72,11.38,12.62
GIMA,EAGL,Eagle,64.78,218.84,66.37,274.26,19.12,6.23,10.96,13.04
GIMA,FYKN,Fort Yukon,66.56,214.79,67.46,269.37,18.35,6.81,11.29,12.71
GIMA,GAKO,Gakona,62.39,214.87,63.25,271.90,17.66,4.93,11.12,12.88
GIMA,HLMS,High Latitude Monitoring Station,61.23,210.13,61.22,268.20,16.02,4.31,11.37,12.63
GIMA,HOMR,Homer,59.66,208.35,59.29,267.34,15.20,3.84,11.43,12.57
GIMA,KAKO,Kaktovik,70.14,216.35,71.31,267.90,19.34,9.74,11.39,12.61
GIMA,KENA,Kenai College,60.55,208.74,60.28,267.30,15.46,4.07,11.43,12.57
GIMA,POKR,Poker Flat,65.12,212.57,65.62,268.32,17.42,5.87,11.36,12.64
GIMA,TRAP,Trapper Creek,62.24,209.58,62.16,267.25,15.98,4.58,11.43,12.57
MACCS,NAN,Nain,56.40,298.30,63.02,22.61,-21.98,4.86,3.74,20.26
MACCS,PGG,Pangnirtung,66.10,294.20,73.12,19.90,-29.16,11.86,3.92,20.08
MACCS,CRV,Clyde River,70.50,291.40,77.57,18.03,-33.93,21.57,4.05,19.95
MACCS,CDR,Cape Dorset,64.20,283.40,72.48,3.26,-23.37,11.04,5.03,18.97
MACCS,IGL,Igloolik,69.30,278.20,77.47,355.39,-26.08,21.25,5.55,18.45
MACCS,CHB,Coral Harbour,64.19,276.65,72.85,352.46,-17.90,11.49,5.75,18.25
