array,code,name,latitude,longitude,cgm_latitude,cgm_longitude,declination,lshell,mlt_midnight,mlt_ut
CARISMA,ANNA,Ann Arbor,42.42,276.10,53.63,348.60,-5.91,2.84,5.92,18.08
CARISMA,BACK,Back Lake,57.71,265.79,67.87,332.25,-0.04,7.04,7.01,16.99
CARISMA,CONT,Contwoyto,65.75,248.75,73.15,302.69,23.26,11.90,8.98,15.02
CARISMA,DAWS,Dawson City,64.05,220.89,65.96,272.43,26.75,6.03,10.99,13.01
CARISMA,ESKI,Eskimo Point,61.11,265.95,71.08,331.77,-2.00,9.51,7.04,16.96
CARISMA,FCHP,Fort Chipewyan,58.77,248.89,66.56,307.08,18.85,6.32,8.68,15.32
CARISMA,FCHU,Fort Churchill,58.76,265.92,68.87,332.25,-0.68,7.70,7.01,16.99
CARISMA,FSIM,Fort Simpson,61.76,238.77,67.45,292.72,25.76,6.80,9.64,14.36
CARISMA,FSMI,Fort Smith,60.02,248.05,67.61,305.37,20.11,6.89,8.80,15.20
CARISMA,GILL,Gillam,56.38,265.36,66.57,331.81,1.03,6.32,7.04,16.96
CARISMA,GULL,Gull Lake,50.06,251.74,58.56,313.78,13.83,3.68,8.24,15.76
CARISMA,ISLL,Island Lake,53.86,265.34,64.15,332.17,1.76,5.26,7.01,16.99
CARISMA,LGRR,Little Grand Rapids,52.03,264.54,62.33,331.21,3.04,4.64,7.08,16.92
CARISMA,MCMU,Fort McMurray,56.66,248.79,64.49,307.83,17.93,5.39,8.63,15.37
CARISMA,MSTK,Ministik Lake,53.35,247.03,60.92,306.77,17.56,4.23,8.71,15.29
CARISMA,NORM,Norman Wells,65.26,233.31,69.69,283.97,29.37,8.30,10.23,13.77
CARISMA,OSAK,Osakis,45.87,264.92,56.37,332.43,3.46,3.26,6.99,17.01
CARISMA,OXFO,Oxford House,54.93,264.71,65.13,331.06,2.25,5.65,7.09,16.91
CARISMA,PINA,Pinawa,50.20,263.96,60.49,330.60,3.90,4.12,7.12,16.88
CARISMA,POLS,Polson,47.66,245.79,55.03,307.01,16.07,3.04,8.69,15.31
CARISMA,RABB,Rabbit Lake,58.22,256.32,67.26,317.68,11.96,6.70,7.98,16.02
CARISMA,RANK,Rankin Inlet,62.82,267.89,72.81,334.59,-6.77,11.44,6.85,17.15
CARISMA,SACH,Sachs Harbour,71.98,234.77,76.23,277.70,36.04,17.65,10.64,13.36
CARISMA,TALO,Taloyoak,69.54,266.45,78.84,329.15,-14.32,26.70,7.21,16.79
CARISMA,THRF,Thief River Falls,48.03,263.63,58.34,330.39,4.42,3.63,7.13,16.87
CARISMA,VULC,Vulcan,50.37,247.02,57.97,307.72,16.45,3.55,8.64,15.36
CARISMA,WEYB,Weyburn,49.69,256.20,58.96,319.78,10.72,3.76,7.84,16.16
CARISMA,WGRY,Wells Gray,51.88,239.97,58.01,298.80,19.66,3.56,9.24,14.76
CANMOS,ALE,Alert,82.50,297.65,87.05,96.60,-66.64,377.80,22.72,1.28
CANMOS,BLC,Baker Lake,64.32,263.99,73.90,327.44,-0.65,13.00,7.33,16.67
CANMOS,BRD,Brandon,49.87,260.03,59.70,325.02,7.61,3.93,7.49,16.51
CANMOS,CBB,Cambridge Bay,69.12,254.97,77.20,308.92,16.43,20.39,8.56,15.44
CANMOS,EUA,Eureka,80.00,274.10,88.34,330.94,-77.96,1194.99,7.09,16.91
CANMOS,FCC,Fort Churchill,58.76,265.91,68.87,332.24,-0.66,7.69,7.01,16.99
CANMOS,GLN,Glenlea,49.65,262.88,59.83,329.11,5.00,3.96,7.22,16.78
CANMOS,GWC,Great Whale River,55.30,282.25,65.71,358.55,-18.33,5.91,5.25,18.75
CANMOS,IQA,Iqaluit,63.75,291.48,72.75,14.64,-33.87,11.38,4.18,19.82
CANMOS,MBC,Mould Bay,76.31,240.64,80.96,274.13,41.82,40.50,10.88,13.12
CANMOS,MEA,Meanook,54.62,246.65,62.09,305.85,18.29,4.56,8.77,15.23
CANMOS,OTT,Ottawa,45.40,284.45,56.08,0.95,-13.82,3.21,5.09,18.91
CANMOS,PBQ,Poste de-la-Baleine,55.28,282.25,65.69,358.55,-18.31,5.90,5.25,18.75
CANMOS,RES,Resolute,74.69,265.11,83.25,320.12,-31.48,72.48,7.82,16.18
CANMOS,STJ,St. John's,47.59,307.32,53.79,31.13,-21.32,2.87,3.08,20.92
CANMOS,SNK,Sanikiluaq,56.50,280.80,66.94,356.37,-18.08,6.52,5.40,18.60
CANMOS,VIC,Victoria,48.52,236.58,53.93,296.18,18.97,2.88,9.41,14.59
CANMOS,WHS,Whiteshell,49.80,264.75,60.18,331.80,3.16,4.04,7.04,16.96
CANMOS,YKC,Yellowknife,62.48,245.52,69.49,300.64,23.35,8.14,9.11,14.89
AUTUMNX,FSJ,Fort St. John,56.23,239.27,62.16,296.23,22.06,4.59,9.41,14.59
AUTUMNX,AKUL,Akulivik,60.82,281.85,70.93,358.45,-23.95,9.37,5.26,18.74
AUTUMNX,ATHA,Athabasca,54.71,246.69,62.19,305.85,18.31,4.60,8.77,15.23
AUTUMNX,INUK,Inukjuak,58.47,281.95,68.72,358.37,-21.18,7.60,5.27,18.73
AUTUMNX,INUV,Inuvik,68.41,226.23,71.28,273.68,31.25,9.71,10.91,13.09
AUTUMNX,KJPK,Kuujjuarapik,55.28,282.24,65.69,358.53,-18.30,5.90,5.25,18.75
AUTUMNX,LARG,La,55.16,254.74,64.07,316.41,12.87,5.23,8.06,15.94
AUTUMNX,LETH,Lethbridge,49.64,247.13,57.27,308.07,16.15,3.42,8.62,15.38
AUTUMNX,PUVR,Puvirnituq,60.05,282.71,70.16,359.77,-23.73,8.68,5.17,18.83
AUTUMNX,RADI,Radisson,53.79,282.38,64.27,358.61,-17.20,5.31,5.25,18.75
AUTUMNX,REDR,Red,52.14,246.16,59.56,306.09,17.51,3.90,8.75,15.25
AUTUMNX,ROTH,Priddis,50.87,245.70,58.21,305.94,17.23,3.60,8.76,15.24
AUTUMNX,SALU,Salluit,62.20,284.35,72.05,2.78,-28.01,10.52,4.97,19.03
AUTUMNX,SCHF,Schefferville,54.80,293.19,63.98,14.72,-24.41,5.19,4.18,19.82
AUTUMNX,SEPT,Spet-Iles,50.22,293.73,59.43,14.66,-21.35,3.87,4.18,19.82
AUTUMNX,STFL,Saint-Felicien,48.65,287.55,58.85,5.77,-17.52,3.74,4.77,19.23
AUTUMNX,VLDR,Val-d'Or,48.05,282.22,58.80,357.91,-13.42,3.73,5.30,18.70
DTU,AMK,Tasiilaq,65.60,322.37,69.25,53.86,-28.37,7.97,1.57,22.43
DTU,ATU,Attu,67.93,306.43,74.38,38.32,-38.10,13.80,2.60,21.40
DTU,BFE,Brorfelde,55.62,11.67,52.19,89.53,0.65,2.66,23.19,0.81
DTU,DMH,Danmarkshavn,76.77,341.37,77.21,85.78,-23.65,20.41,23.44,0.56
DTU,FHB,Paamiut,62.00,310.32,67.91,38.95,-30.40,7.07,2.56,21.44
DTU,GDH,Qeqertarsuaq,69.25,306.47,75.62,39.66,-39.73,16.21,2.51,21.49
