array,code,name,latitude,longitude,cgm_latitude,cgm_longitude,declination,lshell,mlt_midnight,mlt_ut
CARISMA,ANNA,Ann Arbor,42.42,276.10,53.31,349.14,-6.22,2.80,5.90,18.10
CARISMA,BACK,Back Lake,57.71,265.79,67.57,333.00,-0.68,6.87,6.97,17.03
CARISMA,CONT,Contwoyto,65.75,248.75,72.98,303.90,20.18,11.67,8.91,15.09
CARISMA,DAWS,Dawson City,64.05,220.89,65.96,273.34,24.84,6.02,10.95,13.05
CARISMA,ESKI,Eskimo Point,61.11,265.95,70.78,332.59,-2.61,9.23,7.00,17.00
CARISMA,FCHP,Fort Chipewyan,58.77,248.89,66.39,307.98,17.11,6.23,8.64,15.36
CARISMA,FCHU,Fort Churchill,58.76,265.92,68.58,333.02,-1.31,7.50,6.97,17.03
CARISMA,FSIM,Fort Simpson,61.76,238.77,67.35,293.70,23.62,6.74,9.59,14.41
CARISMA,FSMI,Fort Smith,60.02,248.05,67.44,306.31,18.19,6.79,8.75,15.25
CARISMA,GILL,Gillam,56.38,265.36,66.28,332.54,0.35,6.18,7.00,17.00
CARISMA,GULL,Gull Lake,50.06,251.74,58.40,314.46,12.86,3.64,8.21,15.79
CARISMA,ISLL,Island Lake,53.86,265.34,63.88,332.87,1.10,5.16,6.98,17.02
CARISMA,LGRR,Little Grand Rapids,52.03,264.54,62.06,331.90,2.34,4.56,7.05,16.95
CARISMA,MCMU,Fort McMurray,56.66,248.79,64.33,308.66,16.44,5.33,8.60,15.40
CARISMA,MSTK,Ministik Lake,53.35,247.03,60.78,307.51,16.35,4.20,8.67,15.33
CARISMA,NORM,Norman Wells,65.26,233.31,69.63,285.06,26.82,8.25,10.17,13.83
CARISMA,OSAK,Osakis,45.87,264.92,56.14,333.04,2.83,3.22,6.97,17.03
CARISMA,OXFO,Oxford House,54.93,264.71,64.85,331.77,1.53,5.54,7.06,16.94
CARISMA,PINA,Pinawa,50.20,263.96,60.24,331.27,3.20,4.06,7.09,16.91
CARISMA,POLS,Polson,47.66,245.79,54.92,307.63,15.20,3.03,8.67,15.33
CARISMA,RABB,Rabbit Lake,58.22,256.32,67.04,318.54,10.53,6.57,7.94,16.06
CARISMA,RANK,Rankin Inlet,62.82,267.89,72.49,335.41,-6.97,11.05,6.81,17.19
CARISMA,SACH,Sachs Harbour,71.98,234.77,76.19,279.24,31.72,17.56,10.56,13.44
CARISMA,TALO,Taloyoak,69.54,266.45,78.54,330.34,-13.83,25.34,7.15,16.85
CARISMA,THRF,Thief River Falls,48.03,263.63,58.10,331.03,3.74,3.58,7.11,16.89
CARISMA,VULC,Vulcan,50.37,247.02,57.83,308.40,15.44,3.53,8.61,15.39
CARISMA,WEYB,Weyburn,49.69,256.20,58.77,320.46,9.82,3.72,7.81,16.19
CARISMA,WGRY,Wells Gray,51.88,239.97,57.91,299.49,18.55,3.54,9.21,14.79
CANMOS,ALE,Alert,82.50,297.65,87.08,90.64,-61.71,384.63,23.13,0.87
CANMOS,BLC,Baker Lake,64.32,263.99,73.61,328.41,-1.61,12.56,7.28,16.72
CANMOS,BRD,Brandon,49.87,260.03,59.48,325.70,6.79,3.88,7.46,16.54
CANMOS,CBB,Cambridge Bay,69.12,254.97,77.00,310.36,12.61,19.75,8.48,15.52
CANMOS,EUA,Eureka,80.00,274.10,88.05,335.79,-68.92,862.94,6.79,17.21
CANMOS,FCC,Fort Churchill,58.76,265.91,68.58,333.00,-1.29,7.49,6.97,17.03
CANMOS,GLN,Glenlea,49.65,262.88,59.59,329.78,4.27,3.90,7.19,16.81
CANMOS,GWC,Great Whale River,55.30,282.25,65.32,358.94,-17.59,5.74,5.25,18.75
CANMOS,IQA,Iqaluit,63.75,291.48,72.37,14.62,-31.62,10.90,4.20,19.80
CANMOS,MBC,Mould Bay,76.31,240.64,80.94,276.37,33.72,40.29,10.75,13.25
CANMOS,MEA,Meanook,54.62,246.65,61.95,306.63,16.96,4.52,8.73,15.27
CANMOS,OTT,Ottawa,45.40,284.45,55.67,1.37,-13.63,3.14,5.08,18.92
CANMOS,PBQ,Poste de-la-Baleine,55.28,282.25,65.30,358.94,-17.58,5.73,5.24,18.76
CANMOS,RES,Resolute,74.69,265.11,82.99,322.17,-27.73,67.18,7.70,16.30
CANMOS,STJ,St. John's,47.59,307.32,53.32,31.10,-20.27,2.80,3.10,20.90
