array,code,name,latitude,longitude,cgm_latitude,cgm_longitude,declination,lshell,mlt_midnight,mlt_ut
CARISMA,ANNA,Ann Arbor,42.42,276.10,53.57,348.71,-5.98,2.84,5.92,18.08
CARISMA,BACK,Back Lake,57.71,265.79,67.81,332.40,-0.17,7.01,7.00,17.00
CARISMA,CONT,Contwoyto,65.75,248.75,73.11,302.93,22.63,11.85,8.97,15.03
CARISMA,DAWS,Dawson City,64.05,220.89,65.96,272.61,26.37,6.03,10.99,13.01
CARISMA,ESKI,Eskimo Point,61.11,265.95,71.02,331.94,-2.13,9.45,7.04,16.96
CARISMA,FCHP,Fort Chipewyan,58.77,248.89,66.53,307.26,18.50,6.30,8.68,15.32
CARISMA,FCHU,Fort Churchill,58.76,265.92,68.82,332.40,-0.81,7.66,7.00,17.00
CARISMA,FSIM,Fort Simpson,61.76,238.77,67.43,292.92,25.33,6.79,9.64,14.36
CARISMA,FSMI,Fort Smith,60.02,248.05,67.57,305.55,19.72,6.87,8.79,15.21
CARISMA,GILL,Gillam,56.38,265.36,66.51,331.96,0.89,6.29,7.03,16.97
CARISMA,GULL,Gull Lake,50.06,251.74,58.53,313.91,13.64,3.67,8.24,15.76
CARISMA,ISLL,Island Lake,53.86,265.34,64.10,332.31,1.63,5.24,7.01,16.99
CARISMA,LGRR,Little Grand Rapids,52.03,264.54,62.27,331.35,2.90,4.62,7.07,16.93
CARISMA,MCMU,Fort McMurray,56.66,248.79,64.46,308.00,17.63,5.38,8.63,15.37
CARISMA,MSTK,Ministik Lake,53.35,247.03,60.89,306.92,17.32,4.23,8.70,15.30
CARISMA,NORM,Norman Wells,65.26,233.31,69.68,284.19,28.86,8.29,10.22,13.78
CARISMA,OSAK,Osakis,45.87,264.92,56.33,332.55,3.34,3.25,6.99,17.01
CARISMA,OXFO,Oxford House,54.93,264.71,65.07,331.20,2.11,5.63,7.08,16.92
CARISMA,PINA,Pinawa,50.20,263.96,60.44,330.74,3.75,4.11,7.12,16.88
CARISMA,POLS,Polson,47.66,245.79,55.01,307.13,15.90,3.04,8.69,15.31
CARISMA,RABB,Rabbit Lake,58.22,256.32,67.22,317.86,11.67,6.67,7.97,16.03
CARISMA,RANK,Rankin Inlet,62.82,267.89,72.74,334.76,-6.81,11.36,6.85,17.15
CARISMA,SACH,Sachs Harbour,71.98,234.77,76.22,278.01,35.17,17.63,10.63,13.37
CARISMA,TALO,Taloyoak,69.54,266.45,78.78,329.39,-14.21,26.42,7.20,16.80
CARISMA,THRF,Thief River Falls,48.03,263.63,58.29,330.52,4.29,3.62,7.13,16.87
CARISMA,VULC,Vulcan,50.37,247.02,57.94,307.85,16.25,3.55,8.64,15.36
CARISMA,WEYB,Weyburn,49.69,256.20,58.92,319.91,10.54,3.75,7.84,16.16
CARISMA,WGRY,Wells Gray,51.88,239.97,57.99,298.94,19.44,3.56,9.23,14.77
CANMOS,ALE,Alert,82.50,297.65,87.06,95.42,-65.65,379.80,22.80,1.20
CANMOS,BLC,Baker Lake,64.32,263.99,73.84,327.64,-0.86,12.91,7.32,16.68
CANMOS,BRD,Brandon,49.87,260.03,59.65,325.16,7.45,3.92,7.49,16.51
CANMOS,CBB,Cambridge Bay,69.12,254.97,77.16,309.22,15.61,20.26,8.55,15.45
CANMOS,EUA,Eureka,80.00,274.10,88.28,332.04,-76.08,1116.18,7.03,16.97
CANMOS,FCC,Fort Churchill,58.76,265.91,68.81,332.39,-0.79,7.65,7.00,17.00
CANMOS,GLN,Glenlea,49.65,262.88,59.79,329.25,4.85,3.95,7.21,16.79
CANMOS,GWC,Great Whale River,55.30,282.25,65.63,358.62,-18.18,5.87,5.26,18.74
CANMOS,IQA,Iqaluit,63.75,291.48,72.68,14.63,-33.41,11.28,4.19,19.81
CANMOS,MBC,Mould Bay,76.31,240.64,80.96,274.58,40.16,40.47,10.86,13.14
CANMOS,MEA,Meanook,54.62,246.65,62.06,306.00,18.02,4.56,8.76,15.24
CANMOS,OTT,Ottawa,45.40,284.45,56.00,1.04,-13.79,3.20,5.10,18.90
CANMOS,PBQ,Poste de-la-Baleine,55.28,282.25,65.61,358.63,-18.16,5.86,5.26,18.74
CANMOS,RES,Resolute,74.69,265.11,83.20,320.54,-30.60,71.39,7.79,16.21
CANMOS,STJ,St. John's,47.59,307.32,53.70,31.13,-21.11,2.85,3.09,20.91
CANMOS,SNK,Sanikiluaq,56.50,280.80,66.86,356.45,-17.92,6.48,5.40,18.60
CANMOS,VIC,Victoria,48.52,236.58,53.92,296.30,18.79,2.88,9.41,14.59
CANMOS,WHS,Whiteshell,49.80,264.75,60.13,331.93,3.02,4.03,7.04,16.96
CANMOS,YKC,Yellowknife,62.48,245.52,69.46,300.85,22.88,8.12,9.11,14.89
