array,code,name,latitude,longitude,cgm_latitude,cgm_longitude,declination,lshell,mlt_midnight,mlt_ut
CARISMA,ANNA,Ann Arbor,42.42,276.10,53.24,349.29,-6.27,2.79,5.89,18.11
CARISMA,BACK,Back Lake,57.71,265.79,67.51,333.20,-0.78,6.84,6.96,17.04
CARISMA,CONT,Contwoyto,65.75,248.75,72.95,304.20,19.61,11.63,8.90,15.10
CARISMA,DAWS,Dawson City,64.05,220.89,65.96,273.58,24.43,6.03,10.94,13.06
CARISMA,ESKI,Eskimo Point,61.11,265.95,70.71,332.81,-2.70,9.17,6.99,17.01
CARISMA,FCHP,Fort Chipewyan,58.77,248.89,66.36,308.21,16.79,6.22,8.63,15.37
CARISMA,FCHU,Fort Churchill,58.76,265.92,68.52,333.22,-1.40,7.46,6.96,17.04
CARISMA,FSIM,Fort Simpson,61.76,238.77,67.33,293.95,23.19,6.73,9.58,14.42
CARISMA,FSMI,Fort Smith,60.02,248.05,67.41,306.55,17.83,6.78,8.74,15.26
CARISMA,GILL,Gillam,56.38,265.36,66.22,332.74,0.24,6.15,7.00,17.00
CARISMA,GULL,Gull Lake,50.06,251.74,58.37,314.65,12.68,3.64,8.20,15.80
CARISMA,ISLL,Island Lake,53.86,265.34,63.82,333.06,0.98,5.14,6.97,17.03
CARISMA,LGRR,Little Grand Rapids,52.03,264.54,62.01,332.08,2.22,4.54,7.04,16.96
CARISMA,MCMU,Fort McMurray,56.66,248.79,64.30,308.88,16.16,5.32,8.59,15.41
CARISMA,MSTK,Ministik Lake,53.35,247.03,60.75,307.71,16.11,4.19,8.66,15.34
CARISMA,NORM,Norman Wells,65.26,233.31,69.62,285.33,26.30,8.25,10.16,13.84
CARISMA,OSAK,Osakis,45.87,264.92,56.09,333.21,2.72,3.21,6.96,17.04
CARISMA,OXFO,Oxford House,54.93,264.71,64.79,331.97,1.41,5.51,7.05,16.95
CARISMA,PINA,Pinawa,50.20,263.96,60.19,331.45,3.07,4.05,7.08,16.92
CARISMA,POLS,Polson,47.66,245.79,54.89,307.81,15.03,3.02,8.66,15.34
CARISMA,RABB,Rabbit Lake,58.22,256.32,67.00,318.77,10.28,6.55,7.93,16.07
CARISMA,RANK,Rankin Inlet,62.82,267.89,72.43,335.63,-6.98,10.97,6.80,17.20
