array,code,name,latitude,longitude,cgm_latitude,cgm_longitude,declination,lshell,mlt_midnight,mlt_ut
CARISMA,ANNA,Ann Arbor,42.42,276.10,53.02,349.74,-6.43,2.76,5.88,18.12
CARISMA,BACK,Back Lake,57.71,265.79,67.32,333.80,-1.08,6.73,6.94,17.06
CARISMA,CONT,Contwoyto,65.75,248.75,72.84,305.11,17.94,11.49,8.85,15.15
CARISMA,DAWS,Dawson City,64.05,220.89,65.97,274.30,23.21,6.03,10.91,13.09
CARISMA,ESKI,Eskimo Point,61.11,265.95,70.52,333.45,-2.95,8.99,6.96,17.04
CARISMA,FCHP,Fort Chipewyan,58.77,248.89,66.25,308.91,15.83,6.17,8.60,15.40
CARISMA,FCHU,Fort Churchill,58.76,265.92,68.33,333.83,-1.68,7.33,6.94,17.06
CARISMA,FSIM,Fort Simpson,61.76,238.77,67.27,294.70,21.93,6.70,9.55,14.45
CARISMA,FSMI,Fort Smith,60.02,248.05,67.30,307.28,16.76,6.72,8.71,15.29
CARISMA,GILL,Gillam,56.38,265.36,66.04,333.33,-0.08,6.06,6.97,17.03
CARISMA,GULL,Gull Lake,50.06,251.74,58.27,315.20,12.13,3.61,8.18,15.82
CARISMA,ISLL,Island Lake,53.86,265.34,63.64,333.62,0.66,5.07,6.95,17.05
CARISMA,LGRR,Little Grand Rapids,52.03,264.54,61.84,332.63,1.87,4.49,7.02,16.98
CARISMA,MCMU,Fort McMurray,56.66,248.79,64.19,309.54,15.32,5.28,8.56,15.44
CARISMA,MSTK,Ministik Lake,53.35,247.03,60.66,308.31,15.42,4.16,8.64,15.36
CARISMA,NORM,Norman Wells,65.26,233.31,69.59,286.17,24.76,8.22,10.12,13.88
CARISMA,OSAK,Osakis,45.87,264.92,55.93,333.72,2.37,3.19,6.95,17.05
CARISMA,OXFO,Oxford House,54.93,264.71,64.61,332.54,1.06,5.44,7.02,16.98
CARISMA,PINA,Pinawa,50.20,263.96,60.02,331.99,2.71,4.01,7.06,16.94
CARISMA,POLS,Polson,47.66,245.79,54.82,308.32,14.52,3.01,8.64,15.36
CARISMA,RABB,Rabbit Lake,58.22,256.32,66.86,319.44,9.53,6.47,7.90,16.10
CARISMA,RANK,Rankin Inlet,62.82,267.89,72.22,336.28,-7.02,10.73,6.78,17.22
CARISMA,SACH,Sachs Harbour,71.98,234.77,76.17,280.77,28.25,17.51,10.48,13.52
CARISMA,TALO,Taloyoak,69.54,266.45,78.28,331.55,-13.40,24.25,7.09,16.91
CARISMA,THRF,Thief River Falls,48.03,263.63,57.90,331.73,3.25,3.54,7.08,16.92
CARISMA,VULC,Vulcan,50.37,247.02,57.73,309.13,14.65,3.51,8.59,15.41
CARISMA,WEYB,Weyburn,49.69,256.20,58.61,321.19,9.16,3.69,7.78,16.22
CARISMA,WGRY,Wells Gray,51.88,239.97,57.84,300.23,17.66,3.53,9.18,14.82
CANMOS,ALE,Alert,82.50,297.65,87.05,85.25,-57.80,377.64,23.51,0.49
CANMOS,BLC,Baker Lake,64.32,263.99,73.36,329.41,-2.17,12.20,7.23,16.77
CANMOS,BRD,Brandon,49.87,260.03,59.29,326.43,6.20,3.83,7.43,16.57
CANMOS,CBB,Cambridge Bay,69.12,254.97,76.82,311.79,10.09,19.24,8.41,15.59
CANMOS,EUA,Eureka,80.00,274.10,87.78,339.75,-62.41,666.43,6.54,17.46
CANMOS,FCC,Fort Churchill,58.76,265.91,68.32,333.82,-1.67,7.33,6.94,17.06
CANMOS,GLN,Glenlea,49.65,262.88,59.39,330.49,3.75,3.86,7.16,16.84
CANMOS,GWC,Great Whale River,55.30,282.25,64.98,359.43,-17.02,5.59,5.23,18.77
CANMOS,IQA,Iqaluit,63.75,291.48,72.03,14.79,-29.96,10.50,4.21,19.79
CANMOS,MBC,Mould Bay,76.31,240.64,80.93,278.54,27.52,40.21,10.62,13.38
CANMOS,MEA,Meanook,54.62,246.65,61.83,307.45,15.96,4.49,8.70,15.30
CANMOS,OTT,Ottawa,45.40,284.45,55.31,1.86,-13.46,3.09,5.07,18.93
CANMOS,PBQ,Poste de-la-Baleine,55.28,282.25,64.96,359.44,-17.01,5.58,5.23,18.77
CANMOS,RES,Resolute,74.69,265.11,82.76,324.14,-25.48,62.99,7.58,16.42
CANMOS,STJ,St. John's,47.59,307.32,52.90,31.23,-19.48,2.75,3.11,20.89
CANMOS,SNK,Sanikiluaq,56.50,280.80,66.22,357.31,-16.74,6.15,5.37,18.63
CANMOS,VIC,Victoria,48.52,236.58,53.80,297.46,17.33,2.87,9.36,14.64
CANMOS,WHS,Whiteshell,49.80,264.75,59.71,333.17,2.03,3.93,6.98,17.02
CANMOS,YKC,Yellowknife,62.48,245.52,69.22,302.73,19.24,7.94,9.01,14.99
AUTUMNX,FSJ,Fort St. John,56.23,239.27,61.98,297.86,19.42,4.53,9.34,14.66
AUTUMNX,AKUL,Akulivik,60.82,281.85,70.22,359.30,-21.50,8.73,5.24,18.76
AUTUMNX,ATHA,Athabasca,54.71,246.69,61.93,307.46,15.97,4.52,8.70,15.30
AUTUMNX,INUK,Inukjuak,58.47,281.95,68.00,359.23,-19.29,7.13,5.25,18.75
AUTUMNX,INUV,Inuvik,68.41,226.23,71.28,276.02,26.23,9.71,10.79,13.21
AUTUMNX,KJPK,Kuujjuarapik,55.28,282.24,64.96,359.41,-17.00,5.58,5.23,18.77
AUTUMNX,LARG,La,55.16,254.74,63.70,318.03,10.74,5.09,7.99,16.01
AUTUMNX,LETH,Lethbridge,49.64,247.13,57.03,309.46,14.43,3.38,8.56,15.44
AUTUMNX,PUVR,Puvirnituq,60.05,282.71,69.43,0.57,-21.38,8.10,5.16,18.84
AUTUMNX,RADI,Radisson,53.79,282.38,63.54,359.51,-16.11,5.04,5.23,18.77
AUTUMNX,REDR,Red,52.14,246.16,59.31,307.58,15.50,3.84,8.69,15.31
AUTUMNX,ROTH,Priddis,50.87,245.70,57.97,307.37,15.36,3.56,8.70,15.30
AUTUMNX,SALU,Salluit,62.20,284.35,71.32,3.45,-24.89,9.75,4.96,19.04
AUTUMNX,SCHF,Schefferville,54.80,293.19,63.18,15.12,-22.30,4.91,4.19,19.81
AUTUMNX,SEPT,Spet-Iles,50.22,293.73,58.60,15.15,-19.79,3.68,4.18,19.82
AUTUMNX,STFL,Saint-Felicien,48.65,287.55,58.05,6.53,-16.58,3.57,4.76,19.24
AUTUMNX,VLDR,Val-d'Or,48.05,282.22,58.07,358.87,-13.02,3.57,5.27,18.73
DTU,AMK,Tasiilaq,65.60,322.37,68.78,52.87,-25.11,7.63,1.67,22.33
DTU,ATU,Attu,67.93,306.43,73.79,37.39,-33.74,12.83,2.70,21.30
DTU,BFE,Brorfelde,55.62,11.67,52.18,89.18,1.81,2.66,23.25,0.75
DTU,DMH,Danmarkshavn,76.77,341.37,77.15,83.56,-20.02,20.23,23.62,0.38
DTU,FHB,Paamiut,62.00,310.32,67.26,38.41,-27.13,6.69,2.63,21.37
DTU,GDH,Qeqertarsuaq,69.25,306.47,75.05,38.57,-35.14,15.02,2.62,21.38
DTU,GHB,Nuuk,64.17,308.27,69.81,37.14,-29.54,8.39,2.72,21.28
DTU,HOV,Faroe Islands,61.50,353.24,59.99,76.68,-6.98,4.00,0.08,23.92
DTU,KUV,Kullorsuaq,74.57,302.82,80.51,41.05,-42.95,36.76,2.46,21.54
DTU,NAQ,Narsarsuaq,61.16,314.56,65.60,42.60,-25.16,5.86,2.35,21.65
DTU,NRD,Nord,81.60,343.33,81.12,100.76,-20.75,41.99,22.48,1.52
DTU,NRSQ,Narsarsuaq,61.16,314.56,65.60,42.60,-25.16,5.86,2.35,21.65
DTU,ROE,Romo,55.17,8.55,51.77,86.42,0.72,2.61,23.43,0.57
DTU,SCO,Ittoqqortoormiit,70.48,338.03,71.41,71.03,-19.30,9.84,0.46,23.54
DTU,SKT,Maniitsoq,65.42,307.10,71.24,36.48,-31.02,9.67,2.76,21.24
DTU,STF,Kangerlussuaq,67.02,309.28,72.44,40.10,-31.87,10.98,2.52,21.48
