array,code,name,latitude,longitude,cgm_latitude,cgm_longitude,declination,lshell,mlt_midnight,mlt_ut
CARISMA,ANNA,Ann Arbor,42.42,276.10,53.50,348.82,-6.04,2.83,5.91,18.09
CARISMA,BACK,Back Lake,57.71,265.79,67.75,332.55,-0.30,6.97,6.99,17.01
CARISMA,CONT,Contwoyto,65.75,248.75,73.08,303.18,22.00,11.81,8.95,15.05
CARISMA,DAWS,Dawson City,64.05,220.89,65.96,272.79,25.98,6.03,10.98,13.02
CARISMA,ESKI,Eskimo Point,61.11,265.95,70.96,332.10,-2.25,9.39,7.03,16.97
CARISMA,FCHP,Fort Chipewyan,58.77,248.89,66.49,307.44,18.15,6.29,8.67,15.33
CARISMA,FCHU,Fort Churchill,58.76,265.92,68.76,332.56,-0.93,7.62,6.99,17.01
CARISMA,FSIM,Fort Simpson,61.76,238.77,67.41,293.11,24.90,6.78,9.62,14.38
CARISMA,FSMI,Fort Smith,60.02,248.05,67.54,305.74,19.33,6.85,8.78,15.22
CARISMA,GILL,Gillam,56.38,265.36,66.45,332.11,0.75,6.27,7.02,16.98
CARISMA,GULL,Gull Lake,50.06,251.74,58.50,314.05,13.44,3.66,8.23,15.77
CARISMA,ISLL,Island Lake,53.86,265.34,64.04,332.45,1.49,5.22,7.00,17.00
CARISMA,LGRR,Little Grand Rapids,52.03,264.54,62.22,331.49,2.76,4.60,7.07,16.93
CARISMA,MCMU,Fort McMurray,56.66,248.79,64.43,308.16,17.33,5.37,8.62,15.38
CARISMA,MSTK,Ministik Lake,53.35,247.03,60.86,307.07,17.07,4.22,8.69,15.31
CARISMA,NORM,Norman Wells,65.26,233.31,69.67,284.40,28.35,8.28,10.20,13.80
CARISMA,OSAK,Osakis,45.87,264.92,56.28,332.67,3.21,3.24,6.99,17.01
CARISMA,OXFO,Oxford House,54.93,264.71,65.02,331.34,1.96,5.61,7.08,16.92
CARISMA,PINA,Pinawa,50.20,263.96,60.39,330.87,3.61,4.10,7.11,16.89
CARISMA,POLS,Polson,47.66,245.79,54.99,307.26,15.73,3.04,8.68,15.32
CARISMA,RABB,Rabbit Lake,58.22,256.32,67.18,318.03,11.38,6.65,7.96,16.04
CARISMA,RANK,Rankin Inlet,62.82,267.89,72.68,334.92,-6.85,11.29,6.84,17.16
