array,code,name,latitude,longitude,cgm_latitude,cgm_longitude,declination,lshell,mlt_midnight,mlt_ut
CARISMA,ANNA,Ann Arbor,42.42,276.10,53.44,348.93,-6.10,2.82,5.90,18.10
CARISMA,BACK,Back Lake,57.71,265.79,67.69,332.70,-0.43,6.94,6.99,17.01
CARISMA,CONT,Contwoyto,65.75,248.75,73.05,303.42,21.39,11.76,8.94,15.06
CARISMA,DAWS,Dawson City,64.05,220.89,65.96,272.98,25.60,6.03,10.97,13.03
CARISMA,ESKI,Eskimo Point,61.11,265.95,70.90,332.26,-2.37,9.34,7.02,16.98
CARISMA,FCHP,Fort Chipewyan,58.77,248.89,66.46,307.62,17.80,6.27,8.66,15.34
CARISMA,FCHU,Fort Churchill,58.76,265.92,68.70,332.71,-1.06,7.58,6.99,17.01
CARISMA,FSIM,Fort Simpson,61.76,238.77,67.39,293.31,24.47,6.77,9.61,14.39
CARISMA,FSMI,Fort Smith,60.02,248.05,67.51,305.93,18.95,6.83,8.77,15.23
CARISMA,GILL,Gillam,56.38,265.36,66.40,332.25,0.62,6.24,7.02,16.98
CARISMA,GULL,Gull Lake,50.06,251.74,58.47,314.19,13.25,3.66,8.22,15.78
CARISMA,ISLL,Island Lake,53.86,265.34,63.99,332.59,1.36,5.20,6.99,17.01
CARISMA,LGRR,Little Grand Rapids,52.03,264.54,62.17,331.63,2.62,4.59,7.06,16.94
CARISMA,MCMU,Fort McMurray,56.66,248.79,64.40,308.33,17.03,5.35,8.61,15.39
CARISMA,MSTK,Ministik Lake,53.35,247.03,60.83,307.22,16.83,4.21,8.68,15.32
CARISMA,NORM,Norman Wells,65.26,233.31,69.66,284.62,27.84,8.27,10.19,13.81
CARISMA,OSAK,Osakis,45.87,264.92,56.23,332.80,3.08,3.24,6.98,17.02
CARISMA,OXFO,Oxford House,54.93,264.71,64.96,331.49,1.82,5.58,7.07,16.93
CARISMA,PINA,Pinawa,50.20,263.96,60.34,331.00,3.47,4.08,7.10,16.90
CARISMA,POLS,Polson,47.66,245.79,54.96,307.38,15.55,3.03,8.67,15.33
