array,code,name,latitude,longitude,cgm_latitude,cgm_longitude,declination,lshell,mlt_midnight,mlt_ut
CARISMA,ANNA,Ann Arbor,42.42,276.10,52.87,350.04,-6.52,2.74,5.87,18.13
CARISMA,BACK,Back Lake,57.71,265.79,67.19,334.20,-1.22,6.66,6.92,17.08
CARISMA,CONT,Contwoyto,65.75,248.75,72.77,305.73,16.93,11.39,8.82,15.18
CARISMA,DAWS,Dawson City,64.05,220.89,65.98,274.79,22.36,6.04,10.88,13.12
CARISMA,ESKI,Eskimo Point,61.11,265.95,70.39,333.89,-3.05,8.88,6.94,17.06
CARISMA,FCHP,Fort Chipewyan,58.77,248.89,66.18,309.38,15.24,6.13,8.58,15.42
CARISMA,FCHU,Fort Churchill,58.76,265.92,68.19,334.24,-1.81,7.25,6.92,17.08
CARISMA,FSIM,Fort Simpson,61.76,238.77,67.23,295.22,21.12,6.68,9.52,14.48
CARISMA,FSMI,Fort Smith,60.02,248.05,67.23,307.77,16.11,6.68,8.68,15.32
CARISMA,GILL,Gillam,56.38,265.36,65.91,333.72,-0.25,6.00,6.95,17.05
CARISMA,GULL,Gull Lake,50.06,251.74,58.20,315.58,11.79,3.60,8.16,15.84
CARISMA,ISLL,Island Lake,53.86,265.34,63.52,333.99,0.48,5.03,6.93,17.07
CARISMA,LGRR,Little Grand Rapids,52.03,264.54,61.72,333.00,1.67,4.45,7.00,17.00
CARISMA,MCMU,Fort McMurray,56.66,248.79,64.12,309.98,14.81,5.25,8.54,15.46
CARISMA,MSTK,Ministik Lake,53.35,247.03,60.60,308.71,14.98,4.15,8.62,15.38
CARISMA,NORM,Norman Wells,65.26,233.31,69.57,286.74,23.74,8.20,10.09,13.91
CARISMA,OSAK,Osakis,45.87,264.92,55.82,334.06,2.16,3.17,6.93,17.07
CARISMA,OXFO,Oxford House,54.93,264.71,64.49,332.93,0.87,5.39,7.01,16.99
CARISMA,PINA,Pinawa,50.20,263.96,59.91,332.35,2.50,3.98,7.04,16.96
CARISMA,POLS,Polson,47.66,245.79,54.78,308.68,14.19,3.01,8.62,15.38
CARISMA,RABB,Rabbit Lake,58.22,256.32,66.76,319.89,9.09,6.42,7.88,16.12
CARISMA,RANK,Rankin Inlet,62.82,267.89,72.08,336.71,-6.97,10.56,6.75,17.25
CARISMA,SACH,Sachs Harbour,71.98,234.77,76.16,281.56,26.53,17.47,10.43,13.57
CARISMA,TALO,Taloyoak,69.54,266.45,78.15,332.15,-13.08,23.70,7.06,16.94
CARISMA,THRF,Thief River Falls,48.03,263.63,57.79,332.09,3.03,3.52,7.06,16.94
CARISMA,VULC,Vulcan,50.37,247.02,57.67,309.51,14.28,3.50,8.57,15.43
CARISMA,WEYB,Weyburn,49.69,256.20,58.53,321.56,8.86,3.67,7.76,16.24
CARISMA,WGRY,Wells Gray,51.88,239.97,57.80,300.62,17.23,3.52,9.16,14.84
CANMOS,ALE,Alert,82.50,297.65,87.03,82.45,-55.75,371.92,23.70,0.30
CANMOS,BLC,Baker Lake,64.32,263.99,73.24,329.91,-2.35,12.02,7.21,16.79
CANMOS,BRD,Brandon,49.87,260.03,59.19,326.80,5.93,3.81,7.41,16.59
CANMOS,CBB,Cambridge Bay,69.12,254.97,76.73,312.50,9.05,18.97,8.37,15.63
CANMOS,EUA,Eureka,80.00,274.10,87.63,341.41,-59.22,586.96,6.44,17.56
CANMOS,FCC,Fort Churchill,58.76,265.91,68.19,334.23,-1.80,7.24,6.92,17.08
CANMOS,GLN,Glenlea,49.65,262.88,59.28,330.86,3.52,3.83,7.14,16.86
CANMOS,GWC,Great Whale River,55.30,282.25,64.81,359.67,-16.72,5.52,5.22,18.78
CANMOS,IQA,Iqaluit,63.75,291.48,71.85,14.87,-29.14,10.31,4.21,19.79
CANMOS,MBC,Mould Bay,76.31,240.64,80.91,279.68,24.56,40.10,10.56,13.44
CANMOS,MEA,Meanook,54.62,246.65,61.77,307.86,15.49,4.47,8.68,15.32
CANMOS,OTT,Ottawa,45.40,284.45,55.13,2.11,-13.36,3.06,5.06,18.94
CANMOS,PBQ,Poste de-la-Baleine,55.28,282.25,64.78,359.68,-16.71,5.51,5.22,18.78
CANMOS,RES,Resolute,74.69,265.11,82.64,325.11,-24.35,60.88,7.53,16.47
CANMOS,STJ,St. John's,47.59,307.32,52.68,31.30,-19.10,2.72,3.11,20.89
CANMOS,SNK,Sanikiluaq,56.50,280.80,66.05,357.57,-16.43,6.07,5.36,18.64
CANMOS,VIC,Victoria,48.52,236.58,53.77,297.80,16.96,2.86,9.35,14.65
CANMOS,WHS,Whiteshell,49.80,264.75,59.59,333.52,1.83,3.90,6.97,17.03
CANMOS,YKC,Yellowknife,62.48,245.52,69.15,303.27,18.43,7.90,8.98,15.02
AUTUMNX,FSJ,Fort St. John,56.23,239.27,61.94,298.29,18.86,4.52,9.31,14.69
AUTUMNX,AKUL,Akulivik,60.82,281.85,70.04,359.54,-20.98,8.59,5.23,18.77
AUTUMNX,ATHA,Athabasca,54.71,246.69,61.87,307.88,15.50,4.50,8.68,15.32
AUTUMNX,INUK,Inukjuak,58.47,281.95,67.83,359.47,-18.88,7.02,5.24,18.76
AUTUMNX,INUV,Inuvik,68.41,226.23,71.28,276.63,25.06,9.71,10.76,13.24
AUTUMNX,KJPK,Kuujjuarapik,55.28,282.24,64.79,359.66,-16.70,5.51,5.22,18.78
AUTUMNX,LARG,La,55.16,254.74,63.61,318.45,10.34,5.06,7.97,16.03
AUTUMNX,LETH,Lethbridge,49.64,247.13,56.97,309.83,14.07,3.37,8.55,15.45
AUTUMNX,PUVR,Puvirnituq,60.05,282.71,69.26,0.80,-20.87,7.97,5.15,18.85
AUTUMNX,RADI,Radisson,53.79,282.38,63.36,359.75,-15.86,4.97,5.22,18.78
AUTUMNX,REDR,Red,52.14,246.16,59.26,307.97,15.09,3.83,8.67,15.33
AUTUMNX,ROTH,Priddis,50.87,245.70,57.92,307.75,14.98,3.55,8.68,15.32
AUTUMNX,SALU,Salluit,62.20,284.35,71.15,3.64,-24.23,9.58,4.96,19.04
AUTUMNX,SCHF,Schefferville,54.80,293.19,62.99,15.25,-21.86,4.85,4.18,19.82
AUTUMNX,SEPT,Spet-Iles,50.22,293.73,58.40,15.30,-19.46,3.64,4.18,19.82
AUTUMNX,STFL,Saint-Felicien,48.65,287.55,57.86,6.74,-16.37,3.53,4.75,19.25
AUTUMNX,VLDR,Val-d'Or,48.05,282.22,57.89,359.13,-12.92,3.54,5.26,18.74
DTU,AMK,Tasiilaq,65.60,322.37,68.65,52.67,-24.40,7.55,1.69,22.31
DTU,ATU,Attu,67.93,306.43,73.64,37.22,-32.81,12.61,2.72,21.28
DTU,BFE,Brorfelde,55.62,11.67,52.17,89.11,2.11,2.66,23.26,0.74
DTU,DMH,Danmarkshavn,76.77,341.37,77.13,83.03,-19.17,20.16,23.67,0.33
DTU,FHB,Paamiut,62.00,310.32,67.10,38.32,-26.43,6.60,2.65,21.35
DTU,GDH,Qeqertarsuaq,69.25,306.47,74.90,38.36,-34.15,14.74,2.64,21.36
DTU,GHB,Nuuk,64.17,308.27,69.65,37.04,-28.76,8.27,2.73,21.27
DTU,HOV,Faroe Islands,61.50,353.24,59.94,76.53,-6.54,3.98,0.10,23.90
DTU,KUV,Kullorsuaq,74.57,302.82,80.38,40.60,-41.61,35.77,2.49,21.51
DTU,NAQ,Narsarsuaq,61.16,314.56,65.44,42.51,-24.50,5.79,2.37,21.63
DTU,NRD,Nord,81.60,343.33,81.15,99.95,-19.67,42.21,22.54,1.46
DTU,NRSQ,Narsarsuaq,61.16,314.56,65.44,42.51,-24.51,5.79,2.37,21.63
DTU,ROE,Romo,55.17,8.55,51.75,86.35,1.02,2.61,23.44,0.56
DTU,SCO,Ittoqqortoormiit,70.48,338.03,71.34,70.72,-18.61,9.77,0.49,23.51
DTU,SKT,Maniitsoq,65.42,307.10,71.09,36.36,-30.19,9.52,2.78,21.22
DTU,STF,Kangerlussuaq,67.02,309.28,72.29,39.93,-31.00,10.81,2.54,21.46
DTU,SUM,Summit Ice Cap,72.32,321.70,75.49,58.45,-29.65,15.92,1.30,22.70
DTU,SVS,Savissivik,76.02,294.90,82.70,31.56,-46.68,61.93,3.10,20.90
DTU,TAB,Thule Air Base ,79.54,291.18,86.08,38.45,-54.28,214.16,2.64,21.36
DTU,TDC,Tristan Da Cunha ,-37.07,347.68,-40.37,49.87,-23.37,1.72,1.88,22.12
DTU,THL,Qaanaaq,77.47,290.77,84.43,27.84,-50.50,106.03,3.35,20.65
