array,code,name,latitude,longitude,cgm_latitude,cgm_longitude,declination,lshell,mlt_midnight,mlt_ut
CARISMA,ANNA,Ann Arbor,42.42,276.10,52.79,350.19,-6.56,2.73,5.86,18.14
CARISMA,BACK,Back Lake,57.71,265.79,67.13,334.40,-1.27,6.62,6.91,17.09
CARISMA,CONT,Contwoyto,65.75,248.75,72.73,306.04,16.47,11.34,8.80,15.20
CARISMA,DAWS,Dawson City,64.05,220.89,65.98,275.05,21.93,6.04,10.87,13.13
CARISMA,ESKI,Eskimo Point,61.11,265.95,70.32,334.10,-3.07,8.82,6.93,17.07
CARISMA,FCHP,Fort Chipewyan,58.77,248.89,66.14,309.62,14.97,6.11,8.56,15.44
CARISMA,FCHU,Fort Churchill,58.76,265.92,68.13,334.45,-1.85,7.20,6.91,17.09
CARISMA,FSIM,Fort Simpson,61.76,238.77,67.21,295.48,20.73,6.66,9.51,14.49
CARISMA,FSMI,Fort Smith,60.02,248.05,67.20,308.02,15.81,6.66,8.67,15.33
CARISMA,GILL,Gillam,56.38,265.36,65.84,333.92,-0.31,5.97,6.94,17.06
CARISMA,GULL,Gull Lake,50.06,251.74,58.16,315.77,11.63,3.59,8.15,15.85
CARISMA,ISLL,Island Lake,53.86,265.34,63.45,334.19,0.41,5.01,6.93,17.07
CARISMA,LGRR,Little Grand Rapids,52.03,264.54,61.66,333.19,1.59,4.44,6.99,17.01
CARISMA,MCMU,Fort McMurray,56.66,248.79,64.09,310.21,14.57,5.24,8.52,15.48
CARISMA,MSTK,Ministik Lake,53.35,247.03,60.57,308.92,14.78,4.14,8.61,15.39
CARISMA,NORM,Norman Wells,65.26,233.31,69.55,287.03,23.24,8.19,10.07,13.93
CARISMA,OSAK,Osakis,45.87,264.92,55.76,334.24,2.07,3.16,6.92,17.08
CARISMA,OXFO,Oxford House,54.93,264.71,64.43,333.13,0.80,5.37,7.00,17.00
CARISMA,PINA,Pinawa,50.20,263.96,59.85,332.53,2.40,3.96,7.04,16.96
