array,code,name,latitude,longitude,cgm_latitude,cgm_longitude,declination,lshell,mlt_midnight,mlt_ut
CARISMA,ANNA,Ann Arbor,42.42,276.10,52.26,351.38,-6.82,2.67,5.83,18.17
CARISMA,BACK,Back Lake,57.71,265.79,66.68,335.91,-1.54,6.38,6.86,17.14
CARISMA,CONT,Contwoyto,65.75,248.75,72.46,308.28,13.58,11.01,8.70,15.30
CARISMA,DAWS,Dawson City,64.05,220.89,66.02,276.93,19.01,6.05,10.79,13.21
CARISMA,ESKI,Eskimo Point,61.11,265.95,69.85,335.70,-3.16,8.43,6.87,17.13
CARISMA,FCHP,Fort Chipewyan,58.77,248.89,65.89,311.38,13.25,5.99,8.49,15.51
CARISMA,FCHU,Fort Churchill,58.76,265.92,67.67,335.98,-2.06,6.93,6.86,17.14
CARISMA,FSIM,Fort Simpson,61.76,238.77,67.06,297.39,18.22,6.58,9.43,14.57
CARISMA,FSMI,Fort Smith,60.02,248.05,66.95,309.84,13.90,6.52,8.60,15.40
CARISMA,GILL,Gillam,56.38,265.36,65.41,335.40,-0.67,5.77,6.89,17.11
CARISMA,GULL,Gull Lake,50.06,251.74,57.93,317.20,10.63,3.55,8.11,15.89
CARISMA,ISLL,Island Lake,53.86,265.34,63.03,335.62,-0.02,4.86,6.88,17.12
CARISMA,LGRR,Little Grand Rapids,52.03,264.54,61.25,334.60,1.06,4.32,6.95,17.05
CARISMA,MCMU,Fort McMurray,56.66,248.79,63.85,311.86,13.07,5.15,8.46,15.54
CARISMA,MSTK,Ministik Lake,53.35,247.03,60.37,310.45,13.49,4.09,8.56,15.44
CARISMA,NORM,Norman Wells,65.26,233.31,69.47,289.15,19.95,8.13,9.98,14.02
CARISMA,OSAK,Osakis,45.87,264.92,55.39,335.56,1.45,3.10,6.88,17.12
CARISMA,OXFO,Oxford House,54.93,264.71,64.00,334.59,0.34,5.21,6.95,17.05
CARISMA,PINA,Pinawa,50.20,263.96,59.47,333.92,1.81,3.87,6.99,17.01
CARISMA,POLS,Polson,47.66,245.79,54.61,310.21,13.04,2.98,8.57,15.43
CARISMA,RABB,Rabbit Lake,58.22,256.32,66.37,321.80,7.71,6.22,7.80,16.20
CARISMA,RANK,Rankin Inlet,62.82,267.89,71.52,338.53,-6.53,9.95,6.68,17.32
CARISMA,SACH,Sachs Harbour,71.98,234.77,76.09,284.88,20.16,17.30,10.26,13.74
