array,code,name,latitude,longitude,cgm_latitude,cgm_longitude,declination,lshell,mlt_midnight,mlt_ut
CARISMA,ANNA,Ann Arbor,42.42,276.10,52.71,350.35,-6.59,2.72,5.86,18.14
CARISMA,BACK,Back Lake,57.71,265.79,67.06,334.61,-1.31,6.58,6.91,17.09
CARISMA,CONT,Contwoyto,65.75,248.75,72.69,306.36,16.01,11.29,8.79,15.21
CARISMA,DAWS,Dawson City,64.05,220.89,65.99,275.31,21.49,6.04,10.86,13.14
CARISMA,ESKI,Eskimo Point,61.11,265.95,70.25,334.32,-3.09,8.76,6.93,17.07
CARISMA,FCHP,Fort Chipewyan,58.77,248.89,66.10,309.86,14.70,6.09,8.56,15.44
CARISMA,FCHU,Fort Churchill,58.76,265.92,68.06,334.65,-1.89,7.16,6.91,17.09
CARISMA,FSIM,Fort Simpson,61.76,238.77,67.18,295.75,20.35,6.65,9.50,14.50
CARISMA,FSMI,Fort Smith,60.02,248.05,67.16,308.27,15.51,6.64,8.66,15.34
CARISMA,GILL,Gillam,56.38,265.36,65.78,334.12,-0.37,5.94,6.94,17.06
CARISMA,GULL,Gull Lake,50.06,251.74,58.12,315.96,11.47,3.59,8.15,15.85
CARISMA,ISLL,Island Lake,53.86,265.34,63.39,334.37,0.34,4.98,6.92,17.08
CARISMA,LGRR,Little Grand Rapids,52.03,264.54,61.60,333.38,1.50,4.42,6.99,17.01
CARISMA,MCMU,Fort McMurray,56.66,248.79,64.05,310.43,14.33,5.22,8.52,15.48
CARISMA,MSTK,Ministik Lake,53.35,247.03,60.53,309.13,14.58,4.13,8.61,15.39
CARISMA,NORM,Norman Wells,65.26,233.31,69.54,287.33,22.73,8.18,10.06,13.94
CARISMA,OSAK,Osakis,45.87,264.92,55.71,334.41,1.98,3.15,6.92,17.08
CARISMA,OXFO,Oxford House,54.93,264.71,64.36,333.32,0.73,5.34,6.99,17.01
CARISMA,PINA,Pinawa,50.20,263.96,59.79,332.72,2.31,3.95,7.03,16.97
CARISMA,POLS,Polson,47.66,245.79,54.73,309.04,13.87,3.00,8.61,15.39
CARISMA,RABB,Rabbit Lake,58.22,256.32,66.65,320.35,8.71,6.37,7.86,16.14
CARISMA,RANK,Rankin Inlet,62.82,267.89,71.94,337.15,-6.87,10.40,6.74,17.26
CARISMA,SACH,Sachs Harbour,71.98,234.77,76.14,282.38,24.82,17.43,10.39,13.61
CARISMA,TALO,Taloyoak,69.54,266.45,78.00,332.74,-12.67,23.14,7.03,16.97
