array,code,name,latitude,longitude,cgm_latitude,cgm_longitude,declination,lshell,mlt_midnight,mlt_ut
CARISMA,ANNA,Ann Arbor,42.42,276.10,53.37,349.03,-6.16,2.81,5.90,18.10
CARISMA,BACK,Back Lake,57.71,265.79,67.63,332.85,-0.56,6.91,6.98,17.02
CARISMA,CONT,Contwoyto,65.75,248.75,73.01,303.66,20.78,11.72,8.92,15.08
CARISMA,DAWS,Dawson City,64.05,220.89,65.96,273.16,25.22,6.02,10.96,13.04
CARISMA,ESKI,Eskimo Point,61.11,265.95,70.84,332.43,-2.49,9.28,7.01,16.99
CARISMA,FCHP,Fort Chipewyan,58.77,248.89,66.42,307.80,17.46,6.25,8.65,15.35
CARISMA,FCHU,Fort Churchill,58.76,265.92,68.64,332.86,-1.18,7.54,6.98,17.02
CARISMA,FSIM,Fort Simpson,61.76,238.77,67.37,293.50,24.04,6.75,9.60,14.40
CARISMA,FSMI,Fort Smith,60.02,248.05,67.47,306.12,18.57,6.81,8.76,15.24
CARISMA,GILL,Gillam,56.38,265.36,66.34,332.40,0.48,6.21,7.01,16.99
CARISMA,GULL,Gull Lake,50.06,251.74,58.43,314.32,13.05,3.65,8.21,15.79
CARISMA,ISLL,Island Lake,53.86,265.34,63.93,332.73,1.23,5.18,6.98,17.02
CARISMA,LGRR,Little Grand Rapids,52.03,264.54,62.12,331.76,2.48,4.57,7.05,16.95
CARISMA,MCMU,Fort McMurray,56.66,248.79,64.36,308.50,16.73,5.34,8.60,15.40
CARISMA,MSTK,Ministik Lake,53.35,247.03,60.80,307.36,16.59,4.20,8.68,15.32
CARISMA,NORM,Norman Wells,65.26,233.31,69.64,284.84,27.33,8.26,10.18,13.82
CARISMA,OSAK,Osakis,45.87,264.92,56.19,332.92,2.96,3.23,6.97,17.03
CARISMA,OXFO,Oxford House,54.93,264.71,64.91,331.63,1.67,5.56,7.06,16.94
CARISMA,PINA,Pinawa,50.20,263.96,60.29,331.13,3.34,4.07,7.09,16.91
CARISMA,POLS,Polson,47.66,245.79,54.94,307.51,15.38,3.03,8.67,15.33
CARISMA,RABB,Rabbit Lake,58.22,256.32,67.09,318.37,10.81,6.60,7.94,16.06
CARISMA,RANK,Rankin Inlet,62.82,267.89,72.56,335.25,-6.93,11.13,6.82,17.18
CARISMA,SACH,Sachs Harbour,71.98,234.77,76.20,278.93,32.58,17.58,10.57,13.43
CARISMA,TALO,Taloyoak,69.54,266.45,78.60,330.11,-13.92,25.61,7.16,16.84
CARISMA,THRF,Thief River Falls,48.03,263.63,58.15,330.91,3.87,3.59,7.11,16.89
CARISMA,VULC,Vulcan,50.37,247.02,57.86,308.26,15.64,3.53,8.62,15.38
CARISMA,WEYB,Weyburn,49.69,256.20,58.81,320.32,10.00,3.73,7.81,16.19
CARISMA,WGRY,Wells Gray,51.88,239.97,57.93,299.35,18.77,3.55,9.21,14.79
CANMOS,ALE,Alert,82.50,297.65,87.07,91.84,-62.69,383.91,23.04,0.96
CANMOS,BLC,Baker Lake,64.32,263.99,73.67,328.22,-1.43,12.65,7.29,16.71
CANMOS,BRD,Brandon,49.87,260.03,59.52,325.56,6.95,3.89,7.46,16.54
CANMOS,CBB,Cambridge Bay,69.12,254.97,77.04,310.08,13.33,19.88,8.49,15.51
CANMOS,EUA,Eureka,80.00,274.10,88.11,334.94,-70.65,918.18,6.84,17.16
CANMOS,FCC,Fort Churchill,58.76,265.91,68.63,332.85,-1.17,7.53,6.98,17.02
CANMOS,GLN,Glenlea,49.65,262.88,59.64,329.64,4.42,3.92,7.19,16.81
CANMOS,GWC,Great Whale River,55.30,282.25,65.40,358.86,-17.73,5.77,5.24,18.76
CANMOS,IQA,Iqaluit,63.75,291.48,72.45,14.62,-32.06,10.99,4.19,19.81
CANMOS,MBC,Mould Bay,76.31,240.64,80.94,275.92,35.30,40.34,10.77,13.23
CANMOS,MEA,Meanook,54.62,246.65,61.97,306.47,17.23,4.53,8.74,15.26
CANMOS,OTT,Ottawa,45.40,284.45,55.75,1.29,-13.67,3.16,5.08,18.92
CANMOS,PBQ,Poste de-la-Baleine,55.28,282.25,65.38,358.87,-17.72,5.76,5.24,18.76
CANMOS,RES,Resolute,74.69,265.11,83.05,321.77,-28.37,68.21,7.72,16.28
CANMOS,STJ,St. John's,47.59,307.32,53.41,31.11,-20.48,2.81,3.09,20.91
CANMOS,SNK,Sanikiluaq,56.50,280.80,66.63,356.71,-17.47,6.36,5.39,18.61
CANMOS,VIC,Victoria,48.52,236.58,53.87,296.67,18.25,2.88,9.39,14.61
CANMOS,WHS,Whiteshell,49.80,264.75,59.98,332.33,2.63,4.00,7.01,16.99
CANMOS,YKC,Yellowknife,62.48,245.52,69.37,301.47,21.47,8.05,9.07,14.93
AUTUMNX,FSJ,Fort St. John,56.23,239.27,62.08,296.86,20.88,4.56,9.38,14.62
AUTUMNX,AKUL,Akulivik,60.82,281.85,70.63,358.75,-22.82,9.09,5.25,18.75
AUTUMNX,ATHA,Athabasca,54.71,246.69,62.08,306.48,17.25,4.56,8.73,15.27
AUTUMNX,INUK,Inukjuak,58.47,281.95,68.42,358.67,-20.31,7.39,5.26,18.74
AUTUMNX,INUV,Inuvik,68.41,226.23,71.27,274.61,29.06,9.70,10.86,13.14
AUTUMNX,KJPK,Kuujjuarapik,55.28,282.24,65.38,358.84,-17.71,5.76,5.24,18.76
AUTUMNX,LARG,La,55.16,254.74,63.91,317.04,11.88,5.17,8.03,15.97
AUTUMNX,LETH,Lethbridge,49.64,247.13,57.16,308.60,15.38,3.40,8.59,15.41
AUTUMNX,PUVR,Puvirnituq,60.05,282.71,69.85,0.04,-22.65,8.43,5.16,18.84
AUTUMNX,RADI,Radisson,53.79,282.38,63.96,358.93,-16.71,5.19,5.24,18.76
AUTUMNX,REDR,Red,52.14,246.16,59.45,306.67,16.60,3.87,8.72,15.28
AUTUMNX,ROTH,Priddis,50.87,245.70,58.10,306.49,16.39,3.58,8.73,15.27
AUTUMNX,SALU,Salluit,62.20,284.35,71.74,2.99,-26.56,10.18,4.97,19.03
AUTUMNX,SCHF,Schefferville,54.80,293.19,63.64,14.82,-23.44,5.07,4.18,19.82
AUTUMNX,SEPT,Spet-Iles,50.22,293.73,59.08,14.81,-20.64,3.79,4.18,19.82
AUTUMNX,STFL,Saint-Felicien,48.65,287.55,58.51,6.03,-17.10,3.67,4.76,19.24
AUTUMNX,VLDR,Val-d'Or,48.05,282.22,58.49,358.27,-13.25,3.66,5.28,18.72
DTU,AMK,Tasiilaq,65.60,322.37,69.06,53.37,-26.89,7.83,1.61,22.39
DTU,ATU,Attu,67.93,306.43,74.14,37.84,-36.11,13.39,2.64,21.36
DTU,BFE,Brorfelde,55.62,11.67,52.20,89.35,1.15,2.66,23.21,0.79
DTU,DMH,Danmarkshavn,76.77,341.37,77.20,84.80,-22.03,20.38,23.51,0.49
DTU,FHB,Paamiut,62.00,310.32,67.64,38.64,-28.90,6.91,2.59,21.41
DTU,GDH,Qeqertarsuaq,69.25,306.47,75.38,39.11,-37.64,15.71,2.56,21.44
DTU,GHB,Nuuk,64.17,308.27,70.18,37.43,-31.51,8.69,2.67,21.33
DTU,HOV,Faroe Islands,61.50,353.24,60.11,77.04,-8.02,4.03,0.03,23.97
DTU,KUV,Kullorsuaq,74.57,302.82,80.81,42.17,-46.24,39.21,2.36,21.64
DTU,NAQ,Narsarsuaq,61.16,314.56,65.96,42.86,-26.82,6.03,2.31,21.69
DTU,NRD,Nord,81.60,343.33,81.06,102.59,-23.25,41.41,22.33,1.67
DTU,NRSQ,Narsarsuaq,61.16,314.56,65.97,42.86,-26.82,6.03,2.31,21.69
