array,code,name,latitude,longitude,cgm_latitude,cgm_longitude,declination,lshell,mlt_midnight,mlt_ut
AUTUMNX,STFL,Saint-Felicien,48.65,287.55,57.46,7.17,-15.94,3.46,4.74,19.26
AUTUMNX,VLDR,Val-d'Or,48.05,282.22,57.52,359.65,-12.69,3.47,5.25,18.75
DTU,AMK,Tasiilaq,65.60,322.37,68.40,52.26,-22.96,7.38,1.74,22.26
DTU,ATU,Attu,67.93,306.43,73.34,36.86,-30.93,12.16,2.77,21.23
DTU,BFE,Brorfelde,55.62,11.67,52.15,88.96,2.75,2.66,23.29,0.71
DTU,DMH,Danmarkshavn,76.77,341.37,77.08,81.90,-17.36,20.01,23.76,0.24
DTU,FHB,Paamiut,62.00,310.32,66.77,38.14,-25.05,6.43,2.68,21.32
DTU,GDH,Qeqertarsuaq,69.25,306.47,74.61,37.91,-32.15,14.19,2.70,21.30
DTU,GHB,Nuuk,64.17,308.27,69.32,36.82,-27.22,8.02,2.77,21.23
DTU,HOV,Faroe Islands,61.50,353.24,59.83,76.22,-5.62,3.96,0.14,23.86
DTU,KUV,Kullorsuaq,74.57,302.82,80.10,39.68,-38.90,33.85,2.58,21.42
DTU,NAQ,Narsarsuaq,61.16,314.56,65.12,42.30,-23.21,5.65,2.40,21.60
DTU,NRD,Nord,81.60,343.33,81.19,98.23,-17.35,42.68,22.67,1.33
DTU,NRSQ,Narsarsuaq,61.16,314.56,65.12,42.30,-23.21,5.65,2.40,21.60
DTU,ROE,Romo,55.17,8.55,51.72,86.19,1.68,2.61,23.48,0.52
DTU,SCO,Ittoqqortoormiit,70.48,338.03,71.21,70.06,-17.16,9.64,0.55,23.45
DTU,SKT,Maniitsoq,65.42,307.10,70.77,36.10,-28.54,9.21,2.82,21.18
DTU,STF,Kangerlussuaq,67.02,309.28,71.99,39.57,-29.26,10.46,2.58,21.42
DTU,SUM,Summit Ice Cap,72.32,321.70,75.29,57.64,-27.77,15.50,1.38,22.62
DTU,SVS,Savissivik,76.02,294.90,82.40,30.61,-43.35,57.18,3.18,20.82
DTU,TAB,Thule Air Base ,79.54,291.18,85.81,36.04,-50.04,187.35,2.82,21.18
DTU,TDC,Tristan Da Cunha ,-37.07,347.68,-40.74,50.36,-23.18,1.74,1.87,22.13
DTU,THL,Qaanaaq,77.47,290.77,84.12,26.72,-46.63,95.33,3.44,20.56
DTU,UMQ,Uummannaq,70.68,307.87,75.76,40.90,-33.02,16.54,2.50,21.50
DTU,UPN,Upernavik,72.78,303.85,78.32,38.31,-36.57,24.41,2.67,21.33
IMAGE,NAL,Ny Alesund,78.92,11.95,76.51,107.97,4.57,18.38,22.03,1.97
IMAGE,LYR,Longyearbyen,78.20,15.82,75.59,109.21,7.25,16.15,21.94,2.06
IMAGE,HOR,Hornsund,77.00,15.60,74.44,107.01,6.89,13.90,22.09,1.91
IMAGE,HOP,Hopen Island,76.51,25.01,73.47,113.13,13.13,12.36,21.68,2.32
IMAGE,BJN,Bear Island,74.50,19.20,71.79,106.30,8.80,10.24,22.14,1.86
IMAGE,NOR,Nordkapp,71.09,25.79,68.08,108.21,11.79,7.18,22.01,1.99
IMAGE,SOR,Soroya,70.54,22.22,67.67,104.93,9.63,6.93,22.23,1.77
IMAGE,ALT,Alta,69.86,22.96,66.95,105.02,9.85,6.52,22.22,1.78
IMAGE,KEV,Kevo,69.76,27.01,66.70,108.23,11.99,6.39,22.01,1.99
IMAGE,TRO,Tromso,69.66,18.94,66.92,101.66,7.58,6.51,22.45,1.55
IMAGE,MAS,Masi,69.46,23.70,66.51,105.34,10.13,6.30,22.20,1.80
IMAGE,AND,Andenes,69.30,16.03,66.68,99.07,5.89,6.38,22.62,1.38
IMAGE,KIL,Kilpisjärvi,69.06,20.77,66.22,102.70,8.45,6.15,22.38,1.62
IMAGE,KAU,Kautokeino,69.02,23.05,66.09,104.52,9.66,6.09,22.26,1.74
IMAGE,IVA,Ivalo,68.56,27.29,65.48,107.69,11.70,5.80,22.04,1.96
IMAGE,ABK,Abisko,68.35,18.82,65.58,100.65,7.24,5.85,22.51,1.49
IMAGE,LEK,Leknes,68.13,13.54,65.60,96.26,4.35,5.86,22.81,1.19
IMAGE,MUO,Muonio,68.02,23.53,65.05,104.27,9.62,5.62,22.27,1.73
IMAGE,LOZ,Lovozero,67.97,35.08,64.68,113.87,15.15,5.47,21.63,2.37
IMAGE,KIR,Kiruna,67.84,20.42,64.99,101.62,7.97,5.59,22.45,1.55
IMAGE,RST,Rost,67.52,12.09,65.04,94.70,3.51,5.62,22.91,1.09
IMAGE,SOD,Sodankylä,67.37,26.63,64.29,106.45,10.95,5.31,22.13,1.87
IMAGE,PEL,Pello,66.90,24.08,63.89,104.07,9.57,5.16,22.29,1.72
IMAGE,JCK,Jackvik,66.40,16.98,63.63,97.95,5.93,5.07,22.69,1.31
IMAGE,DON,Donna,66.11,12.50,63.54,94.15,3.62,5.04,22.95,1.05
IMAGE,RAN,Ranua,65.90,26.41,62.79,105.48,10.35,4.78,22.19,1.81
IMAGE,RVK,Rorvik,64.94,10.98,62.37,92.25,2.78,4.65,23.07,0.93
IMAGE,LYC,Lycksele,64.61,18.75,61.69,98.44,6.48,4.45,22.66,1.34
IMAGE,OUJ,Oulujärvi,64.52,27.23,61.35,105.52,10.25,4.35,22.19,1.81
IMAGE,MEK,Mekrijärvi,62.77,30.97,59.48,108.02,11.11,3.88,22.02,1.98
IMAGE,HAN,Hankasalmi,62.25,26.60,59.02,104.03,9.24,3.77,22.29,1.71
IMAGE,DOB,Dombas,62.07,9.11,59.38,89.29,1.83,3.85,23.27,0.73
IMAGE,SOL,Solund,61.08,4.84,58.52,85.36,-0.06,3.67,23.53,0.47
IMAGE,NUR,Nurmijärvi,60.50,24.65,57.22,101.70,8.00,3.41,22.44,1.56
IMAGE,HAR,Harestua,60.21,10.71,57.28,89.80,2.51,3.42,23.24,0.76
IMAGE,UPS,Uppsala,59.90,17.35,56.73,95.23,5.14,3.32,22.87,1.13
IMAGE,KAR,Karmoy,59.21,5.24,56.41,84.89,0.24,3.27,23.56,0.44
IMAGE,TAR,Tartu,58.26,26.46,54.84,102.55,8.01,3.02,22.39,1.61
IMAGE,BRZ,Birzai,56.17,24.86,52.62,100.53,6.99,2.71,22.52,1.48
IMAGE,HLP,Hel,54.61,18.82,50.93,94.79,4.93,2.52,22.90,1.10
IMAGE,SUW,Suwałki,54.01,23.18,50.28,98.48,6.06,2.45,22.66,1.34
IMAGE,WNG,Wingst,53.74,9.07,50.06,86.19,1.87,2.43,23.48,0.52
IMAGE,NGK,Niemegk,52.07,12.68,48.09,88.80,2.95,2.24,23.30,0.70
IMAGE,PPN,Polesie,51.45,23.13,47.47,97.85,5.59,2.19,22.70,1.30
GIMA,ARCT,Arctic Village,68.13,214.43,68.94,267.01,19.92,7.75,11.42,12.58
GIMA,BETT,Bettles,66.90,208.45,66.70,262.78,17.47,6.39,11.70,12.30
GIMA,CIGO,College Int'l Geophysical Observatory,64.87,212.14,65.24,267.29,18.42,5.70,11.40,12.60
GIMA,EAGL,Eagle,64.78,218.84,66.35,273.43,20.36,6.21,10.99,13.01
GIMA,FYKN,Fort Yukon,66.56,214.79,67.42,268.52,19.67,6.78,11.32,12.68
GIMA,GAKO,Gakona,62.39,214.87,63.21,271.15,18.73,4.92,11.15,12.85
GIMA,HLMS,High Latitude Monitoring Station,61.23,210.13,61.17,267.50,17.00,4.30,11.39,12.61
GIMA,HOMR,Homer,59.66,208.35,59.24,266.67,16.11,3.82,11.44,12.56
GIMA,KAKO,Kaktovik,70.14,216.35,71.26,266.92,20.99,9.69,11.43,12.57
GIMA,KENA,Kenai College,60.55,208.74,60.23,266.61,16.40,4.06,11.45,12.55
GIMA,POKR,Poker Flat,65.12,212.57,65.57,267.52,18.62,5.85,11.39,12.61
GIMA,TRAP,Trapper Creek,62.24,209.58,62.10,266.53,17.01,4.57,11.45,12.55
MACCS,NAN,Nain,56.40,298.30,63.30,22.40,-22.73,4.95,3.73,20.27
MACCS,PGG,Pangnirtung,66.10,294.20,73.37,19.77,-30.49,12.21,3.91,20.09
MACCS,CRV,Clyde River,70.50,291.40,77.81,17.96,-35.71,22.42,4.03,19.97
MACCS,CDR,Cape Dorset,64.20,283.40,72.73,2.86,-24.45,11.35,5.03,18.97
MACCS,IGL,Igloolik,69.30,278.20,77.71,354.85,-27.63,22.07,5.57,18.43
MACCS,CHB,Coral Harbour,64.19,276.65,73.08,351.90,-18.74,11.81,5.76,18.24
MACCS,RBY,Repulse Bay,66.52,273.77,75.28,346.99,-18.43,15.48,6.09,17.91
MACCS,PEB,Pelly Bay,68.54,270.21,77.08,340.44,-16.62,20.01,6.53,17.47
MACCS,GJO,Gjoa Haven,68.63,264.15,76.91,329.63,-7.02,19.50,7.25,16.75
McMAC,AMER,Americus,38.50,263.70,48.36,333.49,3.10,2.26,6.99,17.01
McMAC,BENN,Bennington,41.36,262.84,51.05,332.18,3.62,2.53,7.08,16.92
McMAC,GLYN,Glyndon,46.87,263.55,56.44,332.77,2.81,3.27,7.04,16.96
McMAC,LRES,Linares,24.80,260.40,34.51,330.12,5.02,1.47,7.22,16.78
McMAC,LYFD,Lyford,26.40,262.20,36.35,332.17,4.15,1.54,7.08,16.92
McMAC,PCEL,Purcell,35.00,262.60,44.83,332.23,3.86,1.99,7.07,16.93
McMAC,RICH,Richardson,32.98,262.25,42.82,331.89,4.07,1.86,7.10,16.90
McMAC,SATX,San Antonio,29.44,261.39,39.23,331.01,4.54,1.67,7.16,16.84
McMAC,WRTH,Worthington,43.60,264.40,53.36,334.17,2.38,2.81,6.94,17.06
THEMIS,BMLS,Bay Mills,46.48,275.31,56.45,349.63,-7.02,3.27,5.91,18.09
THEMIS,CCNV,Carson City,39.19,240.22,45.25,304.90,13.40,2.02,8.90,15.10
THEMIS,CHBG,Chibougamau,49.81,285.58,58.85,4.53,-15.42,3.74,4.92,19.08
THEMIS,DRBY,Derby,44.95,287.87,53.83,7.28,-14.78,2.87,4.74,19.26
THEMIS,GBAY,Goose Bay,53.32,299.54,59.96,23.37,-21.07,3.99,3.67,20.33
THEMIS,HOTS,Hot Springs,47.59,245.34,54.52,308.87,13.71,2.97,8.63,15.37
THEMIS,KAPU,Kapuskasing,49.39,277.68,59.13,353.15,-9.85,3.80,5.68,18.32
THEMIS,KIAN,Kiana,66.97,199.56,65.42,255.49,13.60,5.78,12.19,11.81
THEMIS,KUUJ,Kuujjuaq,58.10,291.60,66.05,13.90,-22.68,6.07,4.30,19.70
THEMIS,LOYS,Loysburg,40.18,281.62,50.06,358.30,-10.03,2.43,5.34,18.66
THEMIS,MCGR,Mcgrath,62.95,204.40,61.97,261.76,15.16,4.53,11.77,12.23
THEMIS,PGEO,Prince George,53.81,237.17,59.06,297.57,17.58,3.78,9.38,14.62
THEMIS,PINE,Pine Ridge,43.08,257.41,52.08,324.82,7.21,2.65,7.57,16.43
THEMIS,PTRS,Petersburg,56.81,227.05,59.97,285.51,19.28,3.99,10.19,13.81
THEMIS,RMUS,Remus,43.66,274.86,53.77,348.92,-5.98,2.86,5.96,18.04
THEMIS,SNAP,Snap Lake,63.58,249.13,70.63,308.70,14.67,9.09,8.64,15.36
THEMIS,SWNO,Shawano,44.78,271.40,54.85,343.99,-3.40,3.02,6.29,17.71
THEMIS,TPAS,The Pas,53.99,259.06,62.84,325.60,6.09,4.80,7.52,16.48
THEMIS,UKIA,Ukiah,45.14,241.07,51.28,304.45,14.49,2.56,8.93,15.07
THEMIS,WHIT,Whitehorse,61.01,224.78,63.70,281.32,20.35,5.10,10.47,13.53
USGS,BOU,Boulder,40.14,254.76,48.81,321.79,8.49,2.31,7.77,16.23
USGS,BRW,Point Barrow,71.32,203.38,70.47,254.96,16.02,8.95,12.23,11.77
USGS,BSL,NASA Stennis Space Center,30.35,270.36,40.98,342.43,-0.83,1.75,6.39,17.61
USGS,CMO,Fairbanks,64.87,212.14,65.24,267.30,18.42,5.70,11.40,12.60
USGS,DED,Dead Horse,70.36,211.21,70.66,262.25,19.23,9.12,11.74,12.26
USGS,FRD,Corbin,38.20,282.63,48.07,359.55,-10.21,2.24,5.25,18.75
USGS,FRN,Fresno,37.09,240.29,43.19,305.44,12.95,1.88,8.86,15.14
